def(TFTPOMATIC_SUPPORT),def(BOOTLOADER_SUPPORT)
True,!def(UIP_CONF_EXTERNAL_BUFFER)
def(NTP_SUPPORT),def(DNS_SUPPORT)
(def(DNS_SUPPORT)&def(DYNDNS_SUPPORT)),True
def(DYNDNS_SUPPORT),True
def(AUTH_SUPPORT),True
def(I2C_SUPPORT),True
def(BOOTP_SUPPORT),def(DNS_SUPPORT)
True,def(I2C_SUPPORT)
!def(UIP_ARCH_IPCHKSUM),True
True,def(TFTP_SUPPORT)
def(PSOCK_SUPPORT),True
def(ECMD_SENDER_SUPPORT),True
def(DEBUG_ENC28J60),True
True,!def(DNS_SUPPORT)
True,def(ZBUS_SUPPORT)
True,def(TETRIRAPE_SUPPORT)
def(TETRIRAPE_SUPPORT),True
!def(DNS_SUPPORT),def(DNS_SUPPORT)
def(BOOTP_SUPPORT),True
!def(DNS_SUPPORT),True
True,def(BOOTP_SUPPORT)
True,def(DYNDNS_SUPPORT)
True,def(PSOCK_SUPPORT)
def(DYNDNS_SUPPORT),(def(DNS_SUPPORT)&def(DYNDNS_SUPPORT))
def(TFTP_SUPPORT),True
(def(RC4_SUPPORT)&def(AUTH_SUPPORT)),True
def(RC4_SUPPORT),True
(def(RC4_SUPPORT)&def(AUTH_SUPPORT)),def(RC4_SUPPORT)
def(SYSLOG_SUPPORT),True
True,def(SYSLOG_SUPPORT)
def(ZBUS_SUPPORT),True
def(NTP_SUPPORT),True
True,def(DNS_SUPPORT)
def(DNS_SUPPORT),True
True,(def(DNS_SUPPORT)&def(DYNDNS_SUPPORT))
!def(TFTPOMATIC_SUPPORT),def(BOOTLOADER_SUPPORT)
