def(MANAGEMENT_DEF_AUTH),True
!def(ENABLE_X509_TRACK),True
True,def(WIN32)
!def(HAVE_DIRNAME),True
True,def(ENABLE_DEBUG)
def(ENABLE_DEBUG),True
def(PLUGIN_PF),True
def(ENABLE_DEF_AUTH),def(PLUGIN_DEF_AUTH)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),def(ENABLE_DEBUG)
def(ENABLE_DEBUG),!def(DMALLOC)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),def(ENABLE_DEBUG)
!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(ENABLE_MANAGEMENT),True
def(DMALLOC),True
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(ENABLE_SOCKS),True
def(PLUGIN_PF),!def(DMALLOC)
def(ENABLE_EUREPHIA),True
(def(HAVE_SIGNAL_H)&!def(WIN32)),def(HAVE_SIGNAL_H)
True,!def(DMALLOC)
def(ENABLE_X509_TRACK),True
True,(def(HAVE_SIGNAL_H)&!def(WIN32))
def(TIME_TEST),def(WIN32)
!def(DMALLOC),True
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
def(ENABLE_EUREPHIA),!def(BUF_INIT_TRACKING)
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
def(ENABLE_PERFORMANCE_METRICS),True
def(DO_DAEMONIZE),True
def(ENABLE_DEF_AUTH),def(MANAGEMENT_DEF_AUTH)
def(PACKET_TRUNCATION_CHECK),True
def(HAVE_SIGNAL_H),True
(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(PLUGIN_DEF_AUTH)
True,!def(BUF_INIT_TRACKING)
def(MANAGEMENT_PF),True
def(MANAGEMENT_DEF_AUTH),def(ENABLE_DEBUG)
def(MANAGEMENT_DEF_AUTH),!def(DMALLOC)
def(HAVE_GETTIMEOFDAY),def(WIN32)
!def(BUF_INIT_TRACKING),True
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(MANAGEMENT_DEF_AUTH)
def(ENABLE_DEF_AUTH),(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
True,def(ENABLE_MANAGEMENT)
def(HAVE_SIGNAL_H),(def(HAVE_SIGNAL_H)&!def(WIN32))
True,def(ENABLE_PERFORMANCE_METRICS)
def(PLUGIN_DEF_AUTH),!def(DMALLOC)
def(ENABLE_DEF_AUTH),(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH))
