def(HAVE_SIGNAL_H),True
True,def(ENABLE_DEBUG)
def(ENABLE_SOCKS),True
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),(def(ENABLE_DEBUG)&def(PLUGIN_PF))
def(MANAGEMENT_DEF_AUTH),!def(DMALLOC)
(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(MANAGEMENT_DEF_AUTH)
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),!def(DMALLOC)
def(ENABLE_DEF_AUTH),(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(ENABLE_DEBUG),True
True,!def(BUF_INIT_TRACKING)
def(PLUGIN_PF),True
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
!def(DMALLOC),True
def(ENABLE_DEBUG),!def(DMALLOC)
def(ENABLE_X509_TRACK),!def(DMALLOC)
True,!def(DMALLOC)
(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(PLUGIN_DEF_AUTH)
def(DMALLOC),!def(DMALLOC)
def(MANAGEMENT_DEF_AUTH),True
def(ENABLE_EUREPHIA),True
def(ENABLE_PERFORMANCE_METRICS),True
!def(BUF_INIT_TRACKING),True
def(TIME_TEST),def(WIN32)
def(DO_DAEMONIZE),True
def(PACKET_TRUNCATION_CHECK),True
def(ENABLE_DEF_AUTH),def(MANAGEMENT_DEF_AUTH)
True,def(ENABLE_PERFORMANCE_METRICS)
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
True,def(MANAGEMENT_DEF_AUTH)
def(ENABLE_DEF_AUTH),def(PLUGIN_DEF_AUTH)
True,def(WIN32)
!def(BUF_INIT_TRACKING),!def(DMALLOC)
!def(DMALLOC),def(DMALLOC)
def(HAVE_GETTIMEOFDAY),def(WIN32)
def(PLUGIN_PF),!def(DMALLOC)
def(MANAGEMENT_PF),True
def(ENABLE_MANAGEMENT),True
True,def(ENABLE_MANAGEMENT)
def(DMALLOC),True
def(WIN32),True
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
def(ENABLE_DEF_AUTH),(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(PLUGIN_DEF_AUTH),!def(DMALLOC)
