True,def(USE_PAM_DLOPEN)
def(ENABLE_PLUGIN),!def(DMALLOC)
True,(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
def(SHAPER_DEBUG),True
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(HAVE_SIGNAL_H),(def(HAVE_SIGNAL_H)&!def(_WIN32))
!def(_WIN32),True
def(DMALLOC),True
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
(def(SYSTEMD_NEWER_THAN_216)&def(ENABLE_SYSTEMD)),True
True,def(ENABLE_MANAGEMENT)
def(ENABLE_DEF_AUTH),True
def(ENABLE_PKCS11),True
!def(DMALLOC),True
def(ENABLE_MANAGEMENT),True
def(WIN32),True
(def(HAVE_SIGNAL_H)&!def(_WIN32)),def(HAVE_SIGNAL_H)
def(TIME_TEST),True
def(ENABLE_PLUGIN),True
def(MANAGEMENT_DEF_AUTH),!def(DMALLOC)
True,def(HAVE_GETPASS)
def(MANAGEMENT_DEF_AUTH),True
def(_WIN32),True
def(ENABLE_SYSTEMD),True
True,def(ENABLE_SYSTEMD)
def(ENABLE_DEF_AUTH),(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(PLUGIN_DEF_AUTH)
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),def(ENABLE_DEBUG)
def(ENABLE_EUREPHIA),True
True,!def(DMALLOC)
def(USE_PAM_DLOPEN),True
(!def(ENABLE_SMALL)&def(ENABLE_PLUGIN)),True
def(PLUGIN_PF),!def(DMALLOC)
(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32)),(def(_WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(_WIN32)))
!def(ENABLE_X509_TRACK),True
(def(_WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(_WIN32))),(def(_WIN32)&!def(HAVE_GETTIMEOFDAY))
def(HAVE_SIGNAL_H),True
def(ENABLE_DEBUG),True
!def(ENABLE_IPROUTE),True
def(PLUGIN_PF),True
True,(def(ENABLE_DEBUG)&def(PLUGIN_PF))
def(TIME_TEST),(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
True,!def(BUF_INIT_TRACKING)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),def(ENABLE_DEBUG)
def(ENABLE_DEF_AUTH),(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(ENABLE_IPROUTE),True
True,(def(HAVE_SIGNAL_H)&!def(_WIN32))
True,def(ENABLE_PERFORMANCE_METRICS)
def(PLUGIN_DEF_AUTH),!def(DMALLOC)
(!def(BUF_INIT_TRACKING)&def(VERIFY_ALIGNMENT)),True
def(MANAGEMENT_PF),True
def(ENABLE_DEF_AUTH),def(PLUGIN_DEF_AUTH)
def(ENABLE_DEBUG),!def(DMALLOC)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(MANAGEMENT_DEF_AUTH)
!def(HAVE_DIRNAME),True
!def(ENABLE_DEF_AUTH),True
def(ENABLE_PERFORMANCE_METRICS),(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
def(ENABLE_DEF_AUTH),def(MANAGEMENT_DEF_AUTH)
True,def(ENABLE_DEBUG)
def(USE_PAM_DLOPEN),def(ENABLE_DEBUG)
def(ENABLE_X509_TRACK),True
def(MANAGEMENT_DEF_AUTH),def(ENABLE_DEBUG)
def(PACKET_TRUNCATION_CHECK),True
True,(!def(ENABLE_SMALL)&def(ENABLE_PLUGIN))
def(DO_DAEMONIZE),True
True,def(_WIN32)
True,def(ENABLE_PLUGIN)
def(ENABLE_PERFORMANCE_METRICS),True
!def(BUF_INIT_TRACKING),!def(DMALLOC)
