True,(!def(ENABLE_SMALL)&def(ENABLE_PLUGIN))
def(ENABLE_PLUGIN),!def(DMALLOC)
def(PACKET_TRUNCATION_CHECK),True
True,(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
def(HAVE_SIGNAL_H),(def(HAVE_SIGNAL_H)&!def(_WIN32))
def(MANAGEMENT_PF),True
!def(ENABLE_DEF_AUTH),True
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),def(ENABLE_DEBUG)
True,def(ENABLE_PLUGIN)
def(PLUGIN_PF),!def(DMALLOC)
def(ENABLE_DEBUG),True
True,def(ENABLE_PERFORMANCE_METRICS)
True,!def(DMALLOC)
!def(HAVE_DIRNAME),True
def(ENABLE_DEF_AUTH),(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(DMALLOC),True
def(WIN32),True
def(ENABLE_PLUGIN),True
(!def(ENABLE_SMALL)&def(ENABLE_PLUGIN)),True
def(ENABLE_DEF_AUTH),def(MANAGEMENT_DEF_AUTH)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(ENABLE_DEF_AUTH),def(PLUGIN_DEF_AUTH)
def(PLUGIN_PF),True
def(USE_PAM_DLOPEN),def(ENABLE_DEBUG)
def(ENABLE_DEF_AUTH),(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH))
(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32)),(def(_WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(_WIN32)))
def(ENABLE_PKCS11),True
def(ENABLE_MANAGEMENT),True
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
def(ENABLE_DEBUG),!def(DMALLOC)
def(_WIN32),True
(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(MANAGEMENT_DEF_AUTH)
True,def(ENABLE_SYSTEMD)
def(PLUGIN_DEF_AUTH),!def(DMALLOC)
def(MANAGEMENT_DEF_AUTH),True
True,def(USE_PAM_DLOPEN)
True,def(HAVE_GETPASS)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
(def(HAVE_SIGNAL_H)&!def(_WIN32)),def(HAVE_SIGNAL_H)
!def(ENABLE_X509_TRACK),True
True,def(ENABLE_DEBUG)
def(USE_PAM_DLOPEN),True
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),def(ENABLE_DEBUG)
True,(def(ENABLE_DEBUG)&def(PLUGIN_PF))
!def(BUF_INIT_TRACKING),!def(DMALLOC)
!def(ENABLE_IPROUTE),True
def(MANAGEMENT_DEF_AUTH),!def(DMALLOC)
def(ENABLE_PERFORMANCE_METRICS),True
def(DO_DAEMONIZE),True
(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(PLUGIN_DEF_AUTH)
True,(def(HAVE_SIGNAL_H)&!def(_WIN32))
def(ENABLE_IPROUTE),True
def(TIME_TEST),True
def(MANAGEMENT_DEF_AUTH),def(ENABLE_DEBUG)
True,!def(BUF_INIT_TRACKING)
True,def(ENABLE_MANAGEMENT)
def(TIME_TEST),(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
(!def(BUF_INIT_TRACKING)&def(VERIFY_ALIGNMENT)),True
def(ENABLE_DEF_AUTH),True
!def(DMALLOC),True
def(ENABLE_EUREPHIA),True
def(ENABLE_PERFORMANCE_METRICS),(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
(def(_WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(_WIN32))),(def(_WIN32)&!def(HAVE_GETTIMEOFDAY))
True,def(_WIN32)
def(ENABLE_SYSTEMD),True
(def(SYSTEMD_NEWER_THAN_216)&def(ENABLE_SYSTEMD)),True
def(ENABLE_X509_TRACK),True
def(HAVE_SIGNAL_H),True
!def(_WIN32),True
def(SHAPER_DEBUG),True
