def(PACKET_TRUNCATION_CHECK),True
True,!def(DMALLOC)
def(WIN32),True
def(PLUGIN_PF),!def(DMALLOC)
def(MANAGEMENT_PF),True
True,def(ENABLE_MANAGEMENT)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(HAVE_GETTIMEOFDAY),def(WIN32)
True,def(WIN32)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
def(DMALLOC),!def(DMALLOC)
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),!def(DMALLOC)
!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(DO_DAEMONIZE),True
!def(BUF_INIT_TRACKING),True
def(TIME_TEST),def(WIN32)
True,def(ENABLE_PERFORMANCE_METRICS)
def(ENABLE_PERFORMANCE_METRICS),True
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
def(HAVE_SIGNAL_H),True
True,!def(BUF_INIT_TRACKING)
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),(def(ENABLE_DEBUG)&def(PLUGIN_PF))
def(ENABLE_DEBUG),!def(DMALLOC)
!def(DMALLOC),True
def(ENABLE_MANAGEMENT),True
def(DMALLOC),True
def(PLUGIN_PF),True
def(ENABLE_DEBUG),True
def(ENABLE_SOCKS),True
!def(DMALLOC),def(DMALLOC)
True,def(ENABLE_DEBUG)
