def(MANAGEMENT_DEF_AUTH),!def(DMALLOC)
True,!def(BUF_INIT_TRACKING)
!def(HAVE_DIRNAME),True
def(TIME_TEST),def(WIN32)
True,def(ENABLE_PERFORMANCE_METRICS)
def(MANAGEMENT_DEF_AUTH),True
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
def(HAVE_GETTIMEOFDAY),def(WIN32)
True,def(WIN32)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),!def(DMALLOC)
def(ENABLE_X509_TRACK),True
(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(PLUGIN_DEF_AUTH)
def(WIN32),True
True,!def(DMALLOC)
def(ENABLE_DEF_AUTH),def(MANAGEMENT_DEF_AUTH)
!def(ENABLE_X509_TRACK),True
!def(DMALLOC),def(DMALLOC)
!def(BUF_INIT_TRACKING),True
def(MANAGEMENT_PF),True
True,def(ENABLE_MANAGEMENT)
def(ENABLE_DEF_AUTH),(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
def(PLUGIN_DEF_AUTH),!def(DMALLOC)
def(ENABLE_MANAGEMENT),True
!def(DMALLOC),True
def(PACKET_TRUNCATION_CHECK),True
def(ENABLE_PERFORMANCE_METRICS),True
def(DMALLOC),True
def(ENABLE_DEF_AUTH),(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH))
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
def(DO_DAEMONIZE),True
def(ENABLE_DEBUG),True
!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(HAVE_SIGNAL_H),True
def(ENABLE_SOCKS),True
def(ENABLE_DEBUG),!def(DMALLOC)
True,def(ENABLE_DEBUG)
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),(def(ENABLE_DEBUG)&def(PLUGIN_PF))
def(ENABLE_EUREPHIA),True
def(ENABLE_DEF_AUTH),def(PLUGIN_DEF_AUTH)
def(PLUGIN_PF),!def(DMALLOC)
(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(MANAGEMENT_DEF_AUTH)
def(MANAGEMENT_DEF_AUTH),def(ENABLE_DEBUG)
def(PLUGIN_PF),True
def(DMALLOC),!def(DMALLOC)
