True,(def(HAVE_SIGNAL_H)&!def(_WIN32))
def(ENABLE_DEF_AUTH),def(PLUGIN_DEF_AUTH)
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),def(ENABLE_DEBUG)
def(MANAGEMENT_PF),True
def(ENABLE_PKCS11),True
def(ENABLE_DEF_AUTH),True
True,def(ENABLE_DEBUG)
def(TIME_TEST),True
True,!def(BUF_INIT_TRACKING)
True,!def(DMALLOC)
def(TIME_TEST),def(WIN32)
!def(ENABLE_DEF_AUTH),True
(def(SYSTEMD_NEWER_THAN_216)&def(ENABLE_SYSTEMD)),True
!def(ENABLE_X509_TRACK),True
def(DO_DAEMONIZE),True
def(HAVE_SIGNAL_H),(def(HAVE_SIGNAL_H)&!def(_WIN32))
True,def(WIN32)
def(HAVE_GETTIMEOFDAY),True
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),def(ENABLE_DEBUG)
def(ENABLE_DEF_AUTH),def(MANAGEMENT_DEF_AUTH)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(ENABLE_EUREPHIA),True
def(PACKET_TRUNCATION_CHECK),True
def(HAVE_GETTIMEOFDAY),def(WIN32)
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
True,def(HAVE_GETTIMEOFDAY)
def(ENABLE_MANAGEMENT),True
(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(MANAGEMENT_DEF_AUTH)
def(PLUGIN_PF),True
def(ENABLE_DEF_AUTH),(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(ENABLE_X509_TRACK),True
True,def(ENABLE_PERFORMANCE_METRICS)
True,def(ENABLE_MANAGEMENT)
def(WIN32),True
def(ENABLE_SYSTEMD),True
def(MANAGEMENT_DEF_AUTH),!def(DMALLOC)
(def(SHAPER_DEBUG)&def(HAVE_GETTIMEOFDAY)),True
(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(PLUGIN_DEF_AUTH)
def(DMALLOC),True
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
True,def(ENABLE_SYSTEMD)
!def(DMALLOC),True
def(PLUGIN_PF),!def(DMALLOC)
!def(HAVE_DIRNAME),True
True,(def(ENABLE_DEBUG)&def(PLUGIN_PF))
(def(HAVE_SIGNAL_H)&!def(_WIN32)),def(HAVE_SIGNAL_H)
(!def(BUF_INIT_TRACKING)&def(VERIFY_ALIGNMENT)),True
def(WIN32),!def(WIN32)
def(ENABLE_DEBUG),True
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
def(MANAGEMENT_DEF_AUTH),True
!def(WIN32),True
def(ENABLE_DEBUG),!def(DMALLOC)
def(ENABLE_DEF_AUTH),(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
def(HAVE_SIGNAL_H),True
def(PLUGIN_DEF_AUTH),!def(DMALLOC)
def(ENABLE_PERFORMANCE_METRICS),True
def(MANAGEMENT_DEF_AUTH),def(ENABLE_DEBUG)
