def(PACKET_TRUNCATION_CHECK),True
def(TIME_TEST),def(WIN32)
def(MANAGEMENT_PF),True
def(PLUGIN_PF),!def(DMALLOC)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
True,!def(DMALLOC)
!def(DMALLOC),def(DMALLOC)
!def(BUF_INIT_TRACKING),!def(DMALLOC)
True,def(DO_DAEMONIZE)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(ENABLE_SOCKS),True
True,!def(BUF_INIT_TRACKING)
def(DMALLOC),!def(DMALLOC)
def(DO_DAEMONIZE),True
True,def(ENABLE_PERFORMANCE_METRICS)
def(ENABLE_PERFORMANCE_METRICS),True
True,def(WIN32)
def(ENABLE_DEBUG),!def(DMALLOC)
def(HAVE_GETTIMEOFDAY),def(WIN32)
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),def(ENABLE_DEBUG)
True,def(ENABLE_DEBUG)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),def(ENABLE_DEBUG)
def(ENABLE_DEBUG),True
def(PLUGIN_PF),True
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
