def(PLUGIN_DEF_AUTH),!def(DMALLOC)
def(TIME_TEST),True
True,def(ENABLE_PF)
def(ENABLE_ASYNC_PUSH),True
(!def(ENABLE_SMALL)&def(ENABLE_PLUGIN)),True
!def(ENABLE_DEF_AUTH),True
(def(SYSTEMD_NEWER_THAN_216)&def(ENABLE_SYSTEMD)),True
(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32)),(def(_WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(_WIN32)))
True,(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
!def(ENABLE_MANAGEMENT),def(ENABLE_MANAGEMENT)
True,def(ENABLE_MANAGEMENT)
def(ENABLE_DEBUG),True
def(PACKET_TRUNCATION_CHECK),True
def(DO_DAEMONIZE),True
def(ENABLE_X509_TRACK),True
def(ENABLE_PLUGIN),!def(DMALLOC)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
True,!def(ENABLE_MANAGEMENT)
def(ENABLE_DEF_AUTH),def(PLUGIN_DEF_AUTH)
!def(HAVE_DIRNAME),True
def(SCHEDULE_TEST),True
def(MANAGEMENT_DEF_AUTH),def(ENABLE_DEBUG)
True,def(LIST_TEST)
def(ENABLE_CLIENT_CR),True
def(ENABLE_DEF_AUTH),(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(ENABLE_MANAGEMENT),True
True,(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(HAVE_SIGNAL_H),(def(HAVE_SIGNAL_H)&!def(_WIN32))
def(LIST_TEST),!def(DMALLOC)
!def(ENABLE_MANAGEMENT),def(ENABLE_DEBUG)
!def(_WIN32),True
def(ENABLE_MANAGEMENT),def(ENABLE_DEBUG)
True,(def(HAVE_SIGNAL_H)&!def(_WIN32))
def(USE_PAM_DLOPEN),True
def(ENABLE_PLUGIN),True
True,!def(BUF_INIT_TRACKING)
True,(def(ENABLE_DEBUG)&def(PLUGIN_PF))
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
def(ENABLE_PERFORMANCE_METRICS),(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
def(MANAGEMENT_DEF_AUTH),!def(DMALLOC)
True,def(ENABLE_SYSTEMD)
(def(_WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(_WIN32))),(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
def(SCHEDULE_TEST),def(ENABLE_DEBUG)
def(ENABLE_PERFORMANCE_METRICS),True
def(MANAGEMENT_PF),True
!def(DMALLOC),True
True,def(ENABLE_DEBUG)
!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(ENABLE_IPROUTE),True
True,def(ENABLE_PLUGIN)
True,def(HAVE_GETPASS)
def(LIST_TEST),True
def(TIME_TEST),(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
def(ENABLE_PKCS11),True
!def(ENABLE_X509_TRACK),True
True,!def(DMALLOC)
!def(ENABLE_MANAGEMENT),True
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(ENABLE_DEBUG),!def(DMALLOC)
def(ENABLE_EUREPHIA),True
True,def(USE_PAM_DLOPEN)
!def(ENABLE_IPROUTE),True
(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(PLUGIN_DEF_AUTH)
True,def(ENABLE_PERFORMANCE_METRICS)
def(DMALLOC),True
def(ENABLE_PF),True
(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(MANAGEMENT_DEF_AUTH)
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
def(ENABLE_DEF_AUTH),(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
True,def(_WIN32)
(def(HAVE_SIGNAL_H)&!def(_WIN32)),def(HAVE_SIGNAL_H)
def(HAVE_SIGNAL_H),True
def(IFCONFIG_POOL_TEST),True
def(ENABLE_MANAGEMENT),!def(ENABLE_MANAGEMENT)
def(USE_PAM_DLOPEN),def(ENABLE_DEBUG)
(!def(BUF_INIT_TRACKING)&def(VERIFY_ALIGNMENT)),True
def(PLUGIN_PF),True
def(ENABLE_DEF_AUTH),def(MANAGEMENT_DEF_AUTH)
def(SHAPER_DEBUG),True
def(WIN32),True
(def(_WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(_WIN32))),(def(_WIN32)&!def(HAVE_GETTIMEOFDAY))
def(MANAGEMENT_DEF_AUTH),True
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),def(ENABLE_DEBUG)
True,(!def(ENABLE_SMALL)&def(ENABLE_PLUGIN))
def(ENABLE_SYSTEMD),True
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),def(ENABLE_DEBUG)
def(_WIN32),True
def(ENABLE_DEF_AUTH),True
