True,def(WIN32)
def(ENABLE_DEBUG),!def(DMALLOC)
def(ENABLE_SOCKS),True
def(DMALLOC),!def(DMALLOC)
def(ENABLE_MANAGEMENT),True
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),def(ENABLE_DEBUG)
def(MANAGEMENT_PF),True
def(PLUGIN_PF),!def(DMALLOC)
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
def(PACKET_TRUNCATION_CHECK),True
True,def(ENABLE_DEBUG)
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
def(TIME_TEST),def(WIN32)
!def(DMALLOC),def(DMALLOC)
def(DO_DAEMONIZE),True
def(PLUGIN_PF),True
True,def(ENABLE_PERFORMANCE_METRICS)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
def(ENABLE_PERFORMANCE_METRICS),True
True,def(ENABLE_MANAGEMENT)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(HAVE_GETTIMEOFDAY),def(WIN32)
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),!def(DMALLOC)
def(ENABLE_DEBUG),True
def(HAVE_SIGNAL_H),True
!def(BUF_INIT_TRACKING),!def(DMALLOC)
!def(BUF_INIT_TRACKING),True
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),def(ENABLE_DEBUG)
True,!def(BUF_INIT_TRACKING)
True,!def(DMALLOC)
def(DMALLOC),True
!def(DMALLOC),True
True,def(HAVE_GETTIMEOFDAY)
