True,def(WSDEBUG)
True,def(WSDEBUG_TRACE)
True,!def(FEAT_PROFILE)
!def(FEAT_PROFILE),True
def(INET_SOCKETS),True
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),def(FEAT_BEVAL_GUI)
def(FEAT_BEVAL_GUI),(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI))
!def(INET_SOCKETS),def(INET_SOCKETS)
def(WSDEBUG),True
def(FEAT_BEVAL_GUI),True
def(WIN32),True
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL_GUI)
True,def(NBDEBUG)
True,def(WIN32)
def(MAIN),True
!def(INET_SOCKETS),True
def(WSDEBUG_SENSE),True
def(FEAT_BEVAL_GUI),(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI)))
(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),def(FEAT_BEVAL_GUI)
def(WSDEBUG_TRACE),True
