!def(FEAT_BEVAL),True
!def(EBCDIC),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
!def(NO_CONSOLE),True
def(FEAT_GUI),True
def(FEAT_FKMAP),True
True,def(NBDEBUG)
True,def(WSDEBUG)
True,!def(RISCOS)
def(FEAT_MBYTE),True
!def(FEAT_MBYTE),True
True,!def(FEAT_BEVAL)
!def(RISCOS),True
!def(FEAT_MBYTE),def(FEAT_MBYTE)
True,!def(FEAT_MBYTE)
True,def(FEAT_MBYTE)
True,def(FEAT_FKMAP)
def(EBCDIC),True
