!def(FEAT_BEVAL),True
True,def(RISCOS)
def(FEAT_GUI),True
!def(INET_SOCKETS),True
!def(RISCOS),True
True,!def(FEAT_BEVAL)
!def(FEAT_MBYTE),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
True,def(WSDEBUG)
def(FEAT_FKMAP),True
True,!def(RISCOS)
True,def(FEAT_FKMAP)
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
True,def(NBDEBUG)
!def(NO_CONSOLE),True
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
!def(INET_SOCKETS),def(INET_SOCKETS)
!def(FEAT_MBYTE),def(FEAT_MBYTE)
def(FEAT_MBYTE),True
def(RISCOS),True
def(INET_SOCKETS),True
True,def(FEAT_MBYTE)
