def(FEAT_MBYTE),True
def(RISCOS),True
!def(EBCDIC),def(FEAT_MBYTE)
!def(INET_SOCKETS),def(INET_SOCKETS)
def(FEAT_FKMAP),def(FEAT_MBYTE)
True,def(NBDEBUG)
!def(NO_CONSOLE),True
!def(FEAT_MBYTE),True
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
!def(FEAT_BEVAL),True
True,!def(FEAT_BEVAL)
True,def(WSDEBUG)
!def(INET_SOCKETS),True
True,def(RISCOS)
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
True,!def(RISCOS)
def(INET_SOCKETS),True
def(EBCDIC),def(FEAT_MBYTE)
True,def(FEAT_FKMAP)
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
!def(FEAT_MBYTE),def(FEAT_MBYTE)
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
True,def(FEAT_MBYTE)
def(FEAT_FKMAP),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
def(FEAT_GUI),True
!def(RISCOS),True
