True,def(FEAT_FKMAP)
True,def(FEAT_MBYTE)
!def(RISCOS),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
!def(FEAT_MBYTE),True
def(EBCDIC),def(FEAT_MBYTE)
def(RISCOS),True
True,def(NBDEBUG)
!def(NO_CONSOLE),True
def(FEAT_FKMAP),True
def(FEAT_FKMAP),def(FEAT_MBYTE)
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
True,def(RISCOS)
True,!def(FEAT_BEVAL)
def(FEAT_MBYTE),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
!def(FEAT_MBYTE),def(FEAT_MBYTE)
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
True,def(WSDEBUG)
def(FEAT_GUI),True
True,!def(RISCOS)
!def(EBCDIC),def(FEAT_MBYTE)
!def(FEAT_BEVAL),True
