def(WSDEBUG_TRACE),True
!def(INET_SOCKETS),def(INET_SOCKETS)
def(WSDEBUG_SENSE),True
!def(INET_SOCKETS),True
!def(FEAT_PROFILE),True
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL_GUI)
True,def(WSDEBUG_TRACE)
def(FEAT_BEVAL_GUI),(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI)))
def(WSDEBUG),True
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),def(FEAT_BEVAL_GUI)
True,!def(FEAT_PROFILE)
def(WIN32),True
def(FEAT_BEVAL_GUI),True
def(FEAT_BEVAL_GUI),(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI))
def(INET_SOCKETS),True
def(MAIN),True
True,def(WSDEBUG)
True,def(WIN32)
(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),def(FEAT_BEVAL_GUI)
True,def(NBDEBUG)
