def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL_GUI)
(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),def(FEAT_BEVAL_GUI)
True,!def(FEAT_PROFILE)
def(FEAT_BEVAL_GUI),(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI))
def(FEAT_BEVAL_GUI),(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI)))
def(INET_SOCKETS),True
!def(INET_SOCKETS),def(INET_SOCKETS)
def(FEAT_BEVAL_GUI),True
def(WSDEBUG_TRACE),True
def(WSDEBUG),True
True,def(NBDEBUG)
!def(INET_SOCKETS),True
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),True
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),def(FEAT_BEVAL_GUI)
True,def(WSDEBUG_TRACE)
def(WIN32),True
True,def(WIN32)
def(WSDEBUG_SENSE),True
!def(FEAT_PROFILE),True
def(MAIN),True
True,def(WSDEBUG)
