True,def(FOR_TRANSLATORS_ONLY)
!def(GNOME_PRINT),True
def(PAGELAYOUT_TEST),True
def(GNOME_PRINT),True
!def(NEW_RENDER_OPS),True
True,!def(HAVE_FREETYPE)
True,def(GNOME)
def(HAVE_FREETYPE),True
def(HAVE_LIBART),!def(HAVE_LIBART)
True,!def(HAVE_LIBART)
True,!def(GNOME)
(!def(GNOME_PRINT)&def(GNOME)),True
def(HAVE_FREETYPE),!def(HAVE_FREETYPE)
def(INITIAL_IMAGE),True
True,def(HAVE_LIBART)
def(G_OS_WIN32),True
!def(HAVE_UNICODE),True
def(HAVE_LIBART),True
!def(UNICODE_WORK_IN_PROGRESS),True
!def(HAVE_LIBART),def(HAVE_LIBART)
True,def(HAVE_FREETYPE)
True,!def(HAVE_LANGINFO_CODESET)
def(GNOME),True
def(GTK_DOESNT_TALK_UTF8_WE_DO),True
!def(GNOME),True
def(DEBUG_CUSTOM),True
True,def(GTK_DOESNT_TALK_UTF8_WE_DO)
!def(HAVE_FREETYPE),True
