True,def(NEED_STRNCASECMP)
True,def(USE_EGIS)
def(USE_GD_TTF),!def(USE_GD_TTF)
def(NEED_STRDUP),True
True,def(USE_GD_TTF)
True,def(USE_PROJ)
!def(USE_ORACLESPATIAL),def(USE_ORACLESPATIAL)
!def(USE_EGIS),True
True,def(IGNORE_MISSING_DATA)
def(USE_GD_TTF),True
def(USE_PROJ),def(NEED_STRDUP)
def(USE_PROJ),!def(USE_PROJ)
def(USE_EGIS),True
True,!def(USE_GD_TTF)
def(USE_WMS),True
True,def(NEED_STRDUP)
def(_WIN32),True
True,!def(USE_ORACLESPATIAL)
!def(USE_GD_PNG),True
def(USE_EGIS),def(NEED_STRCASECMP)
def(USE_ORACLESPATIAL),!def(USE_ORACLESPATIAL)
def(USE_GD_TTF),def(NEED_STRDUP)
!def(USE_GD_GIF),True
!def(USE_ORACLESPATIAL),True
True,def(NEED_STRCASECMP)
def(TEST),True
def(JISX0208),True
def(USE_SDE),True
def(USE_PROJ),def(NEED_STRCASECMP)
!def(USE_GD_JPEG),True
!def(USE_PROJ),True
def(IGNORE_MISSING_DATA),True
def(USE_PROJ),True
!def(IGNORE_MISSING_DATA),True
!def(USE_GD_WBMP),True
def(USE_ORACLESPATIAL),True
True,def(USE_ORACLESPATIAL)
True,def(TEST)
!def(USE_GD_TTF),True
