def(HAVE_PCRE_H),True
def(USE_FREEBSD_SENDFILE),True
True,def(USE_SOLARIS_DEVPOLL)
def(HAVE_XATTR),True
def(HAVE_PWD_H),True
def(USE_OPENSSL),True
def(USE_LINUX_SENDFILE),True
True,!def(USE_FREEBSD_KQUEUE)
!def(USE_SELECT),def(USE_SELECT)
def(USE_LICENSE),True
def(HAVE_FORK),True
def(DEBUG_ARRAY),True
True,def(HAVE_MMAP)
def(USE_FREEBSD_KQUEUE),True
!def(USE_OPENSSL),True
True,def(USE_LINUX_EPOLL)
def(HAVE_IPV6),True
def(__WIN32),True
True,!def(USE_POLL)
def(USE_LINUX_EPOLL),!def(USE_LINUX_EPOLL)
True,def(HAVE_PCRE_H)
def(USE_LDAP),True
def(USE_PAM),True
True,def(USE_FREEBSD_KQUEUE)
True,!def(USE_SELECT)
True,def(HAVE_FORK)
def(USE_LINUX_SIGIO),True
True,def(USE_LDAP)
True,def(USE_POLL)
def(USE_LINUX_SIGIO),!def(USE_LINUX_SIGIO)
def(USE_SOLARIS_DEVPOLL),!def(USE_SOLARIS_DEVPOLL)
!def(__WIN32),True
True,def(USE_LINUX_SIGIO)
!def(USE_LDAP),True
