True,!def(WIN32)
def(USE_LICENSE),True
True,!def(USE_SOLARIS_DEVPOLL)
def(HAVE_IPV6),True
True,!def(USE_POLL)
def(USE_LINUX_SIGIO),!def(USE_LINUX_SIGIO)
!def(WIN32),True
def(USE_SELECT),!def(USE_SELECT)
def(HAVE_PWD_H),True
def(HAVE_FAM_H),True
def(USE_OPENSSL),True
def(USE_FREEBSD_KQUEUE),!def(USE_FREEBSD_KQUEUE)
True,def(USE_LINUX_SIGIO)
def(HAVE_PCRE_H),True
def(HAVE_LSTAT),True
True,def(USE_LDAP)
!def(USE_LINUX_EPOLL),def(USE_LINUX_EPOLL)
def(USE_LDAP),True
True,def(USE_SELECT)
True,def(HAVE_FORK)
True,def(HAVE_PCRE_H)
!def(USE_SOLARIS_DEVPOLL),def(USE_SOLARIS_DEVPOLL)
!def(WIN32),def(WIN32)
!def(USE_POLL),def(USE_POLL)
True,def(HAVE_MMAP)
True,def(HAVE_IPV6)
def(DEBUG_PROC_OPEN),def(WIN32)
def(WIN32),!def(WIN32)
True,!def(USE_LDAP)
!def(__WIN32),True
!def(USE_OPENSSL),True
def(USE_FREEBSD_SENDFILE),True
!def(USE_LDAP),True
def(HAVE_XATTR),True
True,def(WIN32)
True,def(USE_FREEBSD_KQUEUE)
def(USE_FREEBSD_KQUEUE),True
def(DEBUG_PROC_OPEN),True
def(USE_LINUX_SENDFILE),True
def(HAVE_FORK),True
def(USE_LINUX_SIGIO),True
True,!def(USE_LINUX_EPOLL)
def(USE_LDAP),!def(USE_LDAP)
def(WIN32),True
def(DEBUG_ARRAY),True
def(__WIN32),True
