True,def(USE_SOLARIS_DEVPOLL)
def(HAVE_IPV6),True
True,def(USE_FREEBSD_KQUEUE)
def(USE_SOLARIS_DEVPOLL),!def(USE_SOLARIS_DEVPOLL)
def(DEBUG_CHUNK),True
def(USE_LINUX_SIGIO),True
def(USE_FREEBSD_KQUEUE),True
def(HAVE_FORK),True
def(USE_LINUX_SENDFILE),True
True,def(USE_LDAP)
True,def(HAVE_MMAP)
def(HAVE_PCRE_H),True
True,def(USE_LINUX_EPOLL)
True,!def(USE_POLL)
True,def(HAVE_FORK)
def(HAVE_PWD_H),True
True,!def(USE_FREEBSD_KQUEUE)
def(USE_SELECT),!def(USE_SELECT)
True,def(USE_LINUX_SIGIO)
def(USE_LINUX_EPOLL),!def(USE_LINUX_EPOLL)
def(USE_LINUX_SIGIO),!def(USE_LINUX_SIGIO)
def(HAVE_XATTR),True
def(DEBUG_ARRAY),True
def(USE_PAM),True
def(USE_FREEBSD_SENDFILE),True
True,def(USE_POLL)
True,def(USE_SELECT)
!def(USE_LDAP),True
!def(USE_OPENSSL),True
def(USE_LDAP),True
def(USE_LICENSE),True
