def(WIN32),!def(WIN32)
def(USE_LICENSE),True
!def(FDEVENT_USE_LINUX_EPOLL),def(FDEVENT_USE_LINUX_EPOLL)
def(WIN32),True
def(FDEVENT_USE_SOLARIS_PORT),True
def(DEBUG_ARRAY),True
def(HAVE_LSTAT),True
def(FDEVENT_USE_SOLARIS_DEVPOLL),!def(FDEVENT_USE_SOLARIS_DEVPOLL)
def(HAVE_SYS_UN_H),True
!def(FDEVENT_USE_SOLARIS_PORT),def(FDEVENT_USE_SOLARIS_PORT)
!def(HAVE_PCRE_H),True
True,def(FDEVENT_USE_POLL)
!def(FDEVENT_USE_LINUX_EPOLL),True
def(FDEVENT_USE_LINUX_EPOLL),True
!def(FDEVENT_USE_SOLARIS_DEVPOLL),True
def(FDEVENT_USE_FREEBSD_KQUEUE),True
!def(FDEVENT_USE_POLL),True
def(FDEVENT_USE_FREEBSD_KQUEUE),!def(FDEVENT_USE_FREEBSD_KQUEUE)
!def(WIN32),True
True,!def(FDEVENT_USE_POLL)
!def(HAVE_SYS_UN_H),True
True,!def(FDEVENT_USE_LINUX_EPOLL)
True,!def(WIN32)
def(FDEVENT_USE_SOLARIS_DEVPOLL),True
!def(__WIN32),True
def(FDEVENT_USE_POLL),True
def(__COVERITY__),True
True,def(HAVE_SYS_UN_H)
True,def(FDEVENT_USE_SOLARIS_DEVPOLL)
def(FDEVENT_USE_SELECT),!def(FDEVENT_USE_SELECT)
def(USE_LINUX_SIGIO),True
True,def(FDEVENT_USE_FREEBSD_KQUEUE)
True,!def(__WIN32)
(def(__CYGWIN__)&!def(__WIN32)),True
!def(FDEVENT_USE_FREEBSD_KQUEUE),True
True,!def(FDEVENT_USE_SOLARIS_PORT)
!def(FDEVENT_USE_SOLARIS_PORT),True
def(DEBUG_PROC_OPEN),!def(WIN32)
def(HAVE_IPV6),True
!def(WIN32),def(WIN32)
True,def(HAVE_PCRE_H)
!def(USE_OPENSSL),True
True,def(FDEVENT_USE_SELECT)
def(HAVE_PCRE_H),True
