def(USE_LICENSE),True
True,def(USE_LDAP)
True,def(USE_POLL)
True,def(USE_LINUX_EPOLL)
!def(USE_OPENSSL),True
def(USE_LINUX_SIGIO),True
True,def(USE_SOLARIS_DEVPOLL)
True,def(USE_LINUX_SIGIO)
def(USE_LINUX_SIGIO),!def(USE_LINUX_SIGIO)
def(HAVE_FORK),True
True,def(USE_FREEBSD_KQUEUE)
def(USE_LINUX_EPOLL),!def(USE_LINUX_EPOLL)
def(HAVE_PWD_H),True
True,!def(USE_FREEBSD_KQUEUE)
def(HAVE_IPV6),True
def(USE_FREEBSD_SENDFILE),True
def(USE_SELECT),!def(USE_SELECT)
True,def(USE_SELECT)
def(HAVE_XATTR),True
!def(USE_LDAP),True
def(DEBUG_ARRAY),True
def(USE_FREEBSD_KQUEUE),True
True,def(HAVE_FORK)
def(HAVE_PCRE_H),True
def(USE_LINUX_SENDFILE),True
True,!def(USE_POLL)
def(USE_PAM),True
def(USE_SOLARIS_DEVPOLL),!def(USE_SOLARIS_DEVPOLL)
True,def(HAVE_MMAP)
def(DEBUG_CHUNK),True
def(USE_LDAP),True
