def(__COVERITY__),True
def(FDEVENT_USE_POLL),True
def(FDEVENT_USE_FREEBSD_KQUEUE),True
def(FDEVENT_USE_SOLARIS_DEVPOLL),True
True,def(FDEVENT_USE_SOLARIS_DEVPOLL)
def(FDEVENT_USE_LINUX_EPOLL),!def(FDEVENT_USE_LINUX_EPOLL)
!def(__WIN32),True
!def(USE_OPENSSL),True
!def(FDEVENT_USE_POLL),True
def(USE_LINUX_SIGIO),True
True,!def(__WIN32)
def(FDEVENT_USE_SELECT),!def(FDEVENT_USE_SELECT)
def(FDEVENT_USE_FREEBSD_KQUEUE),!def(FDEVENT_USE_FREEBSD_KQUEUE)
def(DEBUG_ARRAY),True
def(FDEVENT_USE_LINUX_EPOLL),True
def(FDEVENT_USE_SOLARIS_DEVPOLL),!def(FDEVENT_USE_SOLARIS_DEVPOLL)
True,def(FDEVENT_USE_FREEBSD_KQUEUE)
def(HAVE_IPV6),True
True,def(HAVE_PCRE_H)
True,def(HAVE_SYS_UN_H)
!def(HAVE_PCRE_H),True
True,!def(WIN32)
!def(FDEVENT_USE_LINUX_EPOLL),True
!def(FDEVENT_USE_SOLARIS_PORT),def(FDEVENT_USE_SOLARIS_PORT)
!def(HAVE_SYS_UN_H),True
True,def(FDEVENT_USE_LINUX_EPOLL)
!def(WIN32),def(WIN32)
!def(FDEVENT_USE_FREEBSD_KQUEUE),True
def(USE_LICENSE),True
(def(__CYGWIN__)&!def(__WIN32)),True
!def(FDEVENT_USE_SOLARIS_DEVPOLL),True
True,def(FDEVENT_USE_POLL)
!def(FDEVENT_USE_SOLARIS_PORT),True
True,def(FDEVENT_USE_SELECT)
def(FDEVENT_USE_POLL),!def(FDEVENT_USE_POLL)
def(HAVE_SYS_UN_H),True
def(FDEVENT_USE_SOLARIS_PORT),True
def(HAVE_LSTAT),True
!def(WIN32),True
def(WIN32),True
def(DEBUG_PROC_OPEN),!def(WIN32)
def(WIN32),!def(WIN32)
True,!def(FDEVENT_USE_SOLARIS_PORT)
def(HAVE_PCRE_H),True
