def(USE_LINUX_SIGIO),!def(USE_LINUX_SIGIO)
def(USE_FREEBSD_KQUEUE),True
True,!def(__WIN32)
!def(USE_MMAP),True
!def(HAVE_PWD_H),True
def(DEBUG_PROC_OPEN),True
!def(USE_POLL),def(USE_POLL)
def(USE_LICENSE),True
True,def(HAVE_FORK)
def(HAVE_SYS_UN_H),True
True,!def(USE_LINUX_EPOLL)
!def(__WIN32),True
def(USE_LINUX_SIGIO),True
def(HAVE_LSTAT),True
True,!def(USE_POLL)
def(WIN32),!def(WIN32)
def(HAVE_XATTR),True
True,def(HAVE_IPV6)
!def(WIN32),True
def(USE_FREEBSD_SENDFILE),True
def(HAVE_PCRE_H),True
!def(USE_OPENSSL),True
(!def(USE_MMAP)&!def(__WIN32)),True
def(HAVE_FORK),True
True,!def(WIN32)
!def(HAVE_SYS_UN_H),True
True,def(USE_FREEBSD_KQUEUE)
True,def(HAVE_SYS_UN_H)
def(HAVE_FAM_H),True
!def(WIN32),def(WIN32)
def(USE_OPENSSL),True
def(HAVE_IPV6),True
def(USE_SOLARIS_DEVPOLL),!def(USE_SOLARIS_DEVPOLL)
def(USE_MMAP),True
def(__WIN32),True
!def(HAVE_PCRE_H),True
def(DEBUG_PROC_OPEN),!def(WIN32)
def(USE_LINUX_SENDFILE),True
True,def(USE_SOLARIS_DEVPOLL)
def(DEBUG_ARRAY),True
(def(USE_OPENSSL)&!def(__WIN32)),True
True,!def(USE_FREEBSD_KQUEUE)
!def(USE_LINUX_EPOLL),def(USE_LINUX_EPOLL)
def(WIN32),True
def(USE_LDAP),True
(def(__WIN32)&!def(USE_MMAP)),True
(def(__CYGWIN__)&!def(__WIN32)),True
!def(USE_LDAP),True
True,def(HAVE_MMAP)
True,def(USE_LINUX_SIGIO)
True,def(USE_LDAP)
True,!def(USE_SELECT)
True,def(HAVE_PCRE_H)
!def(USE_SELECT),def(USE_SELECT)
def(HAVE_PWD_H),True
