def(DEBUG_PROC_OPEN),def(WIN32)
!def(USE_POLL),def(USE_POLL)
True,def(USE_LDAP)
def(HAVE_PWD_H),True
def(USE_LINUX_SENDFILE),True
True,def(HAVE_MMAP)
True,def(WIN32)
True,def(USE_FREEBSD_KQUEUE)
def(WIN32),!def(WIN32)
True,!def(WIN32)
!def(USE_LDAP),True
def(USE_FREEBSD_KQUEUE),True
def(HAVE_LSTAT),True
!def(USE_OPENSSL),True
def(USE_SELECT),!def(USE_SELECT)
True,!def(USE_LINUX_EPOLL)
def(WIN32),True
def(HAVE_FORK),True
def(HAVE_PCRE_H),True
def(USE_LINUX_SIGIO),True
def(USE_OPENSSL),True
True,def(USE_SELECT)
def(USE_FREEBSD_KQUEUE),!def(USE_FREEBSD_KQUEUE)
!def(__WIN32),True
def(HAVE_XATTR),True
True,def(HAVE_IPV6)
True,def(HAVE_PCRE_H)
True,!def(USE_SOLARIS_DEVPOLL)
!def(USE_SOLARIS_DEVPOLL),def(USE_SOLARIS_DEVPOLL)
!def(WIN32),True
def(__WIN32),True
!def(WIN32),def(WIN32)
True,!def(USE_POLL)
def(USE_FREEBSD_SENDFILE),True
def(HAVE_IPV6),True
True,def(USE_LINUX_SIGIO)
def(USE_LICENSE),True
def(HAVE_FAM_H),True
!def(USE_LINUX_EPOLL),def(USE_LINUX_EPOLL)
True,def(HAVE_FORK)
def(DEBUG_ARRAY),True
def(DEBUG_PROC_OPEN),True
def(USE_LINUX_SIGIO),!def(USE_LINUX_SIGIO)
def(USE_LDAP),True
