True,!def(WIN32)
True,def(HAVE_PCRE_H)
True,!def(USE_LINUX_EPOLL)
!def(USE_POLL),def(USE_POLL)
def(DEBUG_ARRAY),True
def(USE_FREEBSD_KQUEUE),!def(USE_FREEBSD_KQUEUE)
True,def(HAVE_FORK)
def(HAVE_IPV6),True
def(USE_FREEBSD_KQUEUE),True
True,def(USE_SELECT)
!def(USE_OPENSSL),True
def(HAVE_FAM_H),True
True,!def(USE_POLL)
def(DEBUG_PROC_OPEN),!def(WIN32)
def(USE_LICENSE),True
def(USE_LINUX_SIGIO),True
def(HAVE_XATTR),True
!def(USE_LDAP),True
True,def(HAVE_MMAP)
!def(USE_LINUX_EPOLL),def(USE_LINUX_EPOLL)
def(HAVE_LSTAT),True
True,def(USE_LINUX_SIGIO)
def(USE_OPENSSL),True
!def(WIN32),True
def(WIN32),!def(WIN32)
def(USE_SOLARIS_DEVPOLL),!def(USE_SOLARIS_DEVPOLL)
def(DEBUG_PROC_OPEN),True
def(USE_SELECT),!def(USE_SELECT)
True,def(USE_LDAP)
def(HAVE_PCRE_H),True
!def(WIN32),def(WIN32)
def(USE_LINUX_SENDFILE),True
def(HAVE_FORK),True
True,def(HAVE_IPV6)
def(WIN32),True
!def(__WIN32),True
def(USE_FREEBSD_SENDFILE),True
def(HAVE_PWD_H),True
def(USE_LDAP),True
True,def(USE_SOLARIS_DEVPOLL)
def(USE_LINUX_SIGIO),!def(USE_LINUX_SIGIO)
True,def(USE_FREEBSD_KQUEUE)
def(__WIN32),True
