def(GD_HAS_FTEX_XSHOW),True
(def(USE_OGR)&def(USE_WMS_SVR)),def(USE_OGR)
True,def(USE_OGR)
def(USE_GEOS),True
True,def(USE_WMS_LYR)
def(USE_WMS_SVR),True
def(USE_OGR),True
!def(USE_OGR),True
!def(USE_WMS_SVR),True
def(__cplusplus),True
def(USE_GD_FT),True
!def(__cplusplus),True
def(USE_GD_PNG),True
def(USE_MING_FLASH),True
!def(USE_GEOS),True
def(USE_FASTCGI),True
def(USE_WMS_SVR),(def(USE_OGR)&def(USE_WMS_SVR))
True,!def(USE_GD_TTF)
!def(USE_FASTCGI),True
True,def(USE_GD_PNG)
!def(IGNORE_MISSING_DATA),True
True,def(__cplusplus)
True,def(USE_AGG)
def(IGNORE_MISSING_DATA),True
!def(USE_GD_FT),True
True,def(GD_HAS_FTEX_XSHOW)
