def(LIBXML_REGEXP_ENABLED),!def(NO_DEBUG_MEMORY)
True,def(STANDALONE)
def(LIBXML_REGEXP_ENABLED),True
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),def(LIBXML_C14N_ENABLED)
True,def(HAVE_SYS_MMAN_H)
!def(DEBUG_VALID_ALGO),True
def(DEBUG_SAX_TREE),True
def(HAVE_SYS_MMAN_H),True
def(BIG_ENDIAN),True
!def(NO_DEBUG_MEMORY),True
def(DEBUG_VALID_ALGO),True
True,def(LIBXML_REGEXP_ENABLED)
(def(LIBXML_DEBUG_ENABLED)&def(LIBXML_XPATH_ENABLED)),True
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
def(LIBXML_C14N_ENABLED),True
def(LIBXML_C14N_ENABLED),def(DEBUG_SAX_TREE)
True,def(LIBXML_C14N_ENABLED)
def(DEBUG),True
def(DEBUG_TREE),True
True,(def(LIBXML_DEBUG_ENABLED)&def(LIBXML_XPATH_ENABLED))
def(LIBXML_XPTR_ENABLED),True
def(LIBXML_XPATH_ENABLED),!def(NO_DEBUG_MEMORY)
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
def(LIBXML_C14N_ENABLED),!def(NO_DEBUG_MEMORY)
(def(LIBXML_DEBUG_ENABLED)&def(DEBUG_READER)),True
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),def(DEBUG_SAX_TREE)
True,!def(USE_UTF_8)
!def(NO_DEBUG_MEMORY),def(LIBXML_XPATH_ENABLED)
!def(HAVE_SYS_MMAN_H),True
True,!def(BIG_ENDIAN)
!def(DEBUG),!def(NO_DEBUG_MEMORY)
True,def(LIBXML_XPTR_ENABLED)
def(LIBXML_XPTR_ENABLED),!def(NO_DEBUG_MEMORY)
def(DEBUG),!def(NO_DEBUG_MEMORY)
(def(DEBUG_EVAL_COUNTS)&def(LIBXML_XPATH_ENABLED)),!def(NO_DEBUG_MEMORY)
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
True,!def(NO_DEBUG_MEMORY)
def(STANDALONE),True
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),True
def(LIBXML_XPTR_ENABLED),def(LIBXML_XPATH_ENABLED)
!def(NO_DEBUG_MEMORY),def(LIBXML_C14N_ENABLED)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
True,def(LIBXML_XPATH_ENABLED)
True,!def(HAVE_SYS_MMAN_H)
!def(BIG_ENDIAN),True
(def(DEBUG_RANGES)&def(LIBXML_XPTR_ENABLED)),True
def(LIBXML_C14N_ENABLED),(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED))
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
!def(USE_UTF_8),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
True,!def(DEBUG_VALID_ALGO)
True,def(BIG_ENDIAN)
