def(DEBUG_VALID_ALGO),True
True,!def(BIG_ENDIAN)
def(LIBXML_HTML_ENABLED),!def(LIBXML_HTML_ENABLED)
!def(NO_DEBUG_MEMORY),def(LIBXML_XINCLUDE_ENABLED)
!def(XML_USE_BUFFER_CONTENT),!def(NO_DEBUG_MEMORY)
def(DEBUG_TREE),True
True,def(LIBXML_XPTR_ENABLED)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
def(LIBXML_HTML_ENABLED),!def(NO_DEBUG_MEMORY)
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
def(DEBUG),True
def(XML_USE_BUFFER_CONTENT),True
True,!def(USE_UTF_8)
def(LIBXML_XPATH_ENABLED),def(LIBXML_XPTR_ENABLED)
True,def(VMS)
(def(LIBXML_HTML_ENABLED)&def(LIBXML_DEBUG_ENABLED)),True
!def(USE_UTF_8),True
def(LIBXML_HTML_ENABLED),True
True,def(LIBXML_XPATH_ENABLED)
!def(BIG_ENDIAN),True
def(LIBXML_XPATH_ENABLED),True
!def(LIBXML_HTML_ENABLED),!def(NO_DEBUG_MEMORY)
def(LIBXML_XPATH_ENABLED),!def(NO_DEBUG_MEMORY)
def(LIBXML_XPTR_ENABLED),(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_XPTR_ENABLED))
!def(VMS),(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED)))
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
(!def(LIBXML_DEBUG_ENABLED)&def(LIBXML_HTML_ENABLED)&(!def(LIBXML_HTML_ENABLED)|!def(LIBXML_DEBUG_ENABLED))),def(LIBXML_HTML_ENABLED)
def(DEBUG_STEP),def(LIBXML_XPATH_ENABLED)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
True,!def(NO_DEBUG_MEMORY)
True,def(LIBXML_DEBUG_ENABLED)
def(LIBXML_XPTR_ENABLED),!def(NO_DEBUG_MEMORY)
(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_XPTR_ENABLED)),True
def(LIBXML_HTML_ENABLED),(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_HTML_ENABLED))
def(BIG_ENDIAN),True
def(LIBXML_XINCLUDE_ENABLED),def(XML_USE_BUFFER_CONTENT)
def(LIBXML_DEBUG_ENABLED),def(LIBXML_HTML_ENABLED)
def(LIBXML_XPTR_ENABLED),True
def(XML_USE_BUFFER_CONTENT),!def(VMS)
True,def(LIBXML_HTML_ENABLED)
True,!def(VMS)
True,def(STANDALONE)
def(LIBXML_DEBUG_ENABLED),True
def(LIBXML_XPTR_ENABLED),(def(LIBXML_XPTR_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_XPTR_ENABLED)))
def(LIBXML_XINCLUDE_ENABLED),True
True,def(BIG_ENDIAN)
