True,def(BACKWARDS_COMPATIBLE)
!def(EAM_OBJECTS),True
def(USE_MOUSE),True
def(USE_STATS),True
(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY)),!def(EAM_OBJECTS)
(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE)),True
(!def(NO_GIH)&!def(CHECK_HEAP_USE)),True
def(CHECK_HEAP_USE),True
(!def(CHECK_HEAP_USE)&def(NO_GIH)&(def(NO_GIH)|def(CHECK_HEAP_USE))),def(CHECK_HEAP_USE)
True,!def(EAM_OBJECTS)
!def(USE_SYSTEM_TIME),def(CHECK_HEAP_USE)
True,(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS))
True,def(USE_STATS)
def(USE_STATS),!def(CHECK_HEAP_USE)
def(GNUPLOT_HISTORY),True
True,(!def(NO_GIH)&!def(CHECK_HEAP_USE))
def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
!def(USE_SYSTEM_TIME),def(USE_STATS)
!def(HAVE_GD_PNG),True
def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
!def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
(def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
True,!def(CHECK_HEAP_USE)
(!def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
!def(EXTENDED_COLOR_SPECS),def(EXTENDED_COLOR_SPECS)
True,def(CHECK_HEAP_USE)
!def(CHECK_HEAP_USE),True
def(__PUREC__),def(USE_STATS)
!def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
def(USE_STATS),def(CHECK_HEAP_USE)
True,!def(VOLATILE_REFRESH)
def(BACKWARDS_COMPATIBLE),!def(BACKWARDS_COMPATIBLE)
(!def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
!def(USE_SYSTEM_TIME),True
def(VOLATILE_REFRESH),True
(!def(NO_GIH)&!def(CHECK_HEAP_USE)),def(CHECK_HEAP_USE)
def(TEST_STRFTIME),True
True,!def(HAVE_STRSTR)
(def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
(!def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
True,!def(BITMAPDEBUG)
!def(EXTENDED_COLOR_SPECS),True
!def(HAVE_STRSTR),True
(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY)),True
(def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
!def(VOLATILE_REFRESH),True
True,def(TEST_STRFTIME)
(!def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
(!def(CHECK_HEAP_USE)&def(NO_GIH)&(def(NO_GIH)|def(CHECK_HEAP_USE))),!def(CHECK_HEAP_USE)
def(__PUREC__),True
True,!def(NO_CROSSREFS)
def(EXTENDED_COLOR_SPECS),True
(!def(CHECK_HEAP_USE)&def(NO_GIH)&(def(NO_GIH)|def(CHECK_HEAP_USE))),True
True,!def(USE_SYSTEM_TIME)
!def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(CHECK_HEAP_USE),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
def(USE_STATS),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
True,(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
!def(BACKWARDS_COMPATIBLE),True
(!def(HAVE_INDEX)&!def(HAVE_STRCHR)),True
!def(HAVE_LOCALE_H),True
def(TEST_TERMDOC),True
True,!def(EXTENDED_COLOR_SPECS)
!def(CHECK_HEAP_USE),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
!def(EAM_OBJECTS),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
def(EAM_OBJECTS),True
(!def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
True,def(EXTENDED_COLOR_SPECS)
!def(NO_CROSSREFS),(!def(HAVE_INDEX)&!def(HAVE_STRCHR))
True,(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
True,def(HAVE_LOCALE_H)
def(HAVE_LOCALE_H),!def(HAVE_STRSTR)
def(EXTENDED_COLOR_SPECS),!def(EXTENDED_COLOR_SPECS)
(def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
True,def(GNUPLOT_HISTORY)
def(EXTENDED_COLOR_SPECS),(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
!def(BACKWARDS_COMPATIBLE),def(BACKWARDS_COMPATIBLE)
True,(!def(HAVE_INDEX)&!def(HAVE_STRCHR))
def(HAVE_LOCALE_H),True
True,def(USE_MOUSE)
!def(GPLT_X11_MODE),True
(def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
def(BACKWARDS_COMPATIBLE),True
def(USE_SYSTEM_TIME),True
def(CHECK_HEAP_USE),def(USE_STATS)
True,!def(HAVE_LOCALE_H)
def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
!def(GNUPLOT_HISTORY),True
!def(EXTENDED_COLOR_SPECS),(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
