!def(EAM_HISTOGRAMS),True
def(GP_ISVAR),True
def(EAM_HISTOGRAMS),True
True,def(TEST_STRFTIME)
!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
True,def(EAM_HISTOGRAMS)
True,(def(VMS)&!def(MSDOS))
def(EAM_HISTOGRAMS),(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS))
def(GP_STRING_VARS),True
True,(!def(AMIGA_SC_6_1)&!def(PM3D))
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),True
!def(USE_SYSTEM_TIME),True
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),True
True,def(USE_SYSTEM_TIME)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
def(PM3D),True
True,def(GP_STRING_VARS)
True,(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES))
def(TEST_STRFTIME),True
True,!def(AMIGA_SC_6_1)
True,def(PM3D)
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),def(EAM_HISTOGRAMS)
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS))
!def(LITE),True
True,(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS))
!def(GP_ISVAR),True
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),def(USE_ULIG_FILLEDBOXES)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(TEST_TERMDOC),True
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),True
def(USE_SYSTEM_TIME),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
(!def(AMIGA_SC_6_1)&!def(PM3D)),True
True,!def(BITMAPDEBUG)
