(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32)))
(def(KRB4)&!def(CURL_DISABLE_FTP)),True
(!def(GSSAPI)&def(USE_SSLEAY)),(!def(GSSAPI)&!def(USE_SSLEAY))
(!def(GSSAPI)&!def(USE_SSLEAY)),(def(GSSAPI)&def(USE_SSLEAY))
(!def(GSSAPI)&!def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
def(USE_SSLEAY),(!def(GSSAPI)&!def(USE_SSLEAY))
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
(!def(GSSAPI)&def(USE_SSLEAY)),(def(GSSAPI)&!def(USE_SSLEAY))
(def(GSSAPI)&!def(USE_SSLEAY)),True
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
!def(USE_SSLEAY),(!def(GSSAPI)&!def(USE_SSLEAY))
True,(def(KRB4)&!def(CURL_DISABLE_FTP))
(def(GSSAPI)&def(USE_SSLEAY)),True
def(HAVE_GETPASS_R),True
!def(USE_SSLEAY),True
(!def(GSSAPI)&def(USE_SSLEAY)),(def(GSSAPI)&def(USE_SSLEAY))
def(WIN32),True
def(DPRINTF_DEBUG),True
def(TEST),True
def(TEST_DECODE),True
def(TEST_ENCODE),True
True,(!def(GSSAPI)&def(USE_SSLEAY))
def(USE_SSLEAY),True
True,(def(GSSAPI)&!def(USE_SSLEAY))
True,!def(WIN32)
!def(CURL_DISABLE_HTTP),True
True,!def(USE_SSLEAY)
True,def(USE_SSLEAY)
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
(!def(GSSAPI)&!def(USE_SSLEAY)),(!def(GSSAPI)&def(USE_SSLEAY))
(!def(GSSAPI)&def(USE_SSLEAY)),True
True,(def(GSSAPI)&def(USE_SSLEAY))
(!def(GSSAPI)&!def(USE_SSLEAY)),(def(GSSAPI)&!def(USE_SSLEAY))
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_HTTP),(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP))
(!def(GSSAPI)&!def(USE_SSLEAY)),True
True,(!def(GSSAPI)&!def(USE_SSLEAY))
!def(WIN32),True
(def(GSSAPI)&!def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
def(WIN32),!def(WIN32)
!def(CURL_DISABLE_HTTP),!def(HAVE_STRTOK_R)
True,!def(CURL_DISABLE_HTTP)
def(MALLOCDEBUG),True
def(CURLDEBUG),True
(!def(GSSAPI)&def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
def(DPRINTF_DEBUG2),True
(def(GSSAPI)&def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
def(USE_ENVIRONMENT),True
def(_NETRC_DEBUG),True
