True,!def(USE_SSLEAY)
!def(ENABLE_IPV6),!def(HAVE_INET_PTON)
def(USE_SSLEAY),True
True,!def(CURL_DISABLE_CRYPTO_AUTH)
def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
!def(CURL_DISABLE_HTTP),def(CURLDEBUG)
True,!def(HAVE_STRTOK_R)
!def(CURL_DISABLE_HTTP),(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP))
True,def(CURL_DOES_CONVERSIONS)
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),True
def(DISABLE_EXPECT),True
True,(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
!def(HAVE_OPENSSL_ENGINE_H),True
!def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&def(SIGPIPE)&def(HAVE_SIGNAL)))
!def(CURL_DISABLE_DICT),True
!def(LIB529),True
def(HAVE_GETTIMEOFDAY),(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
!def(HAVE_GMTIME_R),True
def(CURL_DOES_CONVERSIONS),True
def(LIB529),True
def(HAVE_GSSAPI),True
!def(HAVE_GETTIMEOFDAY),(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|!def(SIGPIPE)|!def(HAVE_SIGNAL))),True
def(CURLDEBUG),True
(def(LIB526)&!def(LIB527)),True
!def(CURL_DISABLE_HTTP),(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP)))
True,(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|!def(SIGPIPE)|!def(HAVE_SIGNAL)))
def(TEST_ENCODE),True
def(IOCTL_3_ARGS),True
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(TEST_DECODE),True
!def(CURL_DISABLE_HTTP),def(CURL_DO_LINEEND_CONV)
!def(LIB532),True
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
!def(CURL_DISABLE_HTTP),True
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),def(CURL_DO_LINEEND_CONV)
def(ENABLE_IPV6),!def(HAVE_INET_PTON)
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
True,def(CURLDEBUG)
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),def(CURL_DO_LINEEND_CONV)
def(USE_SSL),True
def(ENABLE_IPV6),True
(!def(HAVE_GETTIMEOFDAY)&!def(WIN32)),True
True,!def(CURL_DISABLE_HTTP)
def(CURL_DO_LINEEND_CONV),True
!def(USE_SSLEAY),True
True,def(CURL_DO_LINEEND_CONV)
def(TEST_ENCODE),(def(CURL_DOES_CONVERSIONS)&def(TEST_ENCODE))
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
(def(USE_SSLEAY)&def(HAVE_OPENSSL_ENGINE_H)),True
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
!def(IOCTL_3_ARGS),True
!def(CURL_DISABLE_CRYPTO_AUTH),True
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
def(CURLDEBUG),(!def(CURLDEBUG)&!def(VMS))
def(LIB532),True
True,def(USE_SSLEAY)
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP)),True
(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&def(SIGPIPE)&def(HAVE_SIGNAL))),True
def(CURL_DISABLE_HTTP),def(CURLDEBUG)
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
def(USE_CHUNKED),True
