True,!def(CURL_DISABLE_HTTP)
(def(CURL_COOKIE_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_HTTP),!def(HAVE_STRTOK_R)
!def(CURL_DISABLE_HTTP),True
def(TEST_DECODE),True
(def(KRB4)&!def(CURL_DISABLE_FTP)),True
def(USE_SSLEAY),True
!def(WIN32),def(WIN32)
def(ENABLE_IPV6),True
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),True
def(DPRINTF_DEBUG),True
def(_NETRC_DEBUG),True
def(TEST),True
def(MALLOCDEBUG),True
def(KRB4),True
def(WIN32),True
True,!def(WIN32)
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(USE_ENVIRONMENT),True
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(HAVE_LIBZ),True
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),True
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(TEST_ENCODE),True
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
!def(WIN32),True
