True,!def(CURL_DISABLE_HTTP)
True,def(__riscos__)
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),def(CURL_DOES_CONVERSIONS)
def(HAVE_GETHOSTNAME),(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD))
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),True
!def(CURL_DISABLE_HTTP),True
!def(__EMX__),True
def(USE_CHUNKED),True
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
True,(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP))
True,def(__AMIGA__)
True,!def(CURL_DISABLE_LIBCURL_OPTION)
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),True
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),def(DISABLE_EXPECT)
def(USE_CYASSL),(!def(NO_FILESYSTEM)&def(USE_CYASSL))
!def(CURL_DISABLE_LIBCURL_OPTION),True
!def(CURL_DISABLE_RTSP),True
!def(CURL_DISABLE_HTTP),(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP))
def(DISABLE_EXPECT),def(USE_CHUNKED)
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
def(DISABLE_EXPECT),True
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),def(USE_CYASSL)
True,def(__VMS)
!def(CURL_DISABLE_DICT),True
True,!def(HAVE_STRTOK_R)
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
!def(HAVE_INET_NTOP),True
True,(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD))
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),True
(def(WIN32)&!def(__AMIGA__)),True
def(CURL_DISABLE_HTTP),True
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI)))
True,(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY)))
!def(USE_WINDOWS_SSPI),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
!def(DEBUGBUILD),True
True,def(CURL_DOES_CONVERSIONS)
def(HAVE_GETHOSTNAME),(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME))
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),!def(HAVE_INET_NTOP)
!def(CURL_DISABLE_HTTP),(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP)))
def(USE_CYASSL),True
def(__VMS),True
True,!def(__EMX__)
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),True
True,def(DISABLE_EXPECT)
True,(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP))
def(USE_POLARSSL),!def(HAVE_INET_PTON)
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
(def(ENABLE_IPV6)&def(USE_POLARSSL)),!def(HAVE_INET_PTON)
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),True
!def(CURL_DISABLE_FTP),True
def(USE_CHUNKED),def(DISABLE_EXPECT)
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),True
!def(CURL_DISABLE_PROXY),True
def(DEBUGBUILD),True
def(CURL_DOES_CONVERSIONS),True
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED))
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
!def(CURL_DISABLE_GOPHER),True
True,def(DEBUGBUILD)
def(HAVE_GETHOSTNAME),True
def(__riscos__),def(CURLDEBUG)
True,!def(HAVE_MEMRCHR)
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),True
!def(CURL_DISABLE_TFTP),True
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
