(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),True
def(USE_SSLEAY),True
def(LIB532),True
!def(HAVE_GMTIME_R),True
(!def(HAVE_GETTIMEOFDAY)&!def(WIN32)),True
True,(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|!def(SIGPIPE)|!def(HAVE_SIGNAL)))
True,def(CURLDEBUG)
True,def(CURL_DOES_CONVERSIONS)
def(CURL_DO_LINEEND_CONV),True
(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&def(SIGPIPE)&def(HAVE_SIGNAL))),True
!def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
!def(CURL_DISABLE_HTTP),True
def(HAVE_GSSAPI),True
True,def(USE_SSLEAY)
!def(CURL_DISABLE_DICT),True
True,(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&def(SIGPIPE)&def(HAVE_SIGNAL)))
def(TEST_DECODE),True
True,!def(HAVE_STRTOK_R)
def(USE_SSL),True
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
True,!def(CURL_DISABLE_CRYPTO_AUTH)
!def(LIB532),True
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
def(TEST_ENCODE),(def(CURL_DOES_CONVERSIONS)&def(TEST_ENCODE))
def(ENABLE_IPV6),True
(def(USE_SSLEAY)&def(HAVE_OPENSSL_ENGINE_H)),True
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
(def(LIB526)&!def(LIB527)),True
def(CURLDEBUG),(!def(CURLDEBUG)&!def(VMS))
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(ENABLE_IPV6),!def(HAVE_INET_PTON)
def(TEST_ENCODE),True
!def(CURL_DISABLE_HTTP),def(CURLDEBUG)
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,!def(USE_SSLEAY)
!def(CURL_DISABLE_CRYPTO_AUTH),True
def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
!def(HAVE_OPENSSL_ENGINE_H),True
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
!def(USE_SSLEAY),True
(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|!def(SIGPIPE)|!def(HAVE_SIGNAL))),True
def(LIB529),True
def(CURL_DOES_CONVERSIONS),True
!def(IOCTL_3_ARGS),True
!def(ENABLE_IPV6),!def(HAVE_INET_PTON)
def(HAVE_GETTIMEOFDAY),(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
def(USE_CHUNKED),True
!def(CURL_DISABLE_HTTP),(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP))
def(CURLDEBUG),True
!def(HAVE_GETTIMEOFDAY),(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
True,!def(CURL_DISABLE_HTTP)
!def(LIB529),True
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),True
def(IOCTL_3_ARGS),True
True,(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP)),True
def(CURL_DISABLE_HTTP),def(CURLDEBUG)
!def(CURL_DISABLE_HTTP),(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP)))
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
def(DISABLE_EXPECT),True
