def(WIN32),True
def(USE_SSLEAY),True
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
True,(def(KRB4)&!def(CURL_DISABLE_FTP))
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
!def(WIN32),True
!def(CURL_DISABLE_HTTP),!def(HAVE_STRTOK_R)
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
def(USE_ENVIRONMENT),True
def(CURLDEBUG),True
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
def(TEST_ENCODE),True
def(DPRINTF_DEBUG2),True
True,!def(WIN32)
def(_NETRC_DEBUG),True
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
True,def(CURLDEBUG)
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(HAVE_LIBZ),True
def(WIN32),!def(WIN32)
def(DPRINTF_DEBUG),True
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
!def(CURL_DISABLE_HTTP),(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP))
(def(KRB4)&!def(CURL_DISABLE_FTP)),True
def(HAVE_GETPASS_R),True
def(KRB4),True
!def(USE_SSLEAY),True
def(TEST),True
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32)))
def(MALLOCDEBUG),True
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),(def(HAVE_GSSAPI)&def(USE_SSLEAY))
def(TEST_DECODE),True
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(HAVE_GSSAPI),True
True,!def(CURL_DISABLE_HTTP)
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_HTTP),True
True,!def(USE_SSLEAY)
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),(def(HAVE_GSSAPI)&def(USE_SSLEAY))
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(ENABLE_IPV6),True
True,def(USE_SSLEAY)
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
