True,!def(HAVE_STRTOK_R)
!def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
def(USE_ARES),True
def(DPRINTF_DEBUG2),True
!def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(DPRINTF_DEBUG),True
(def(__riscos__)&def(USE_ENVIRONMENT)),def(USE_ENVIRONMENT)
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
!def(IOCTL_3_ARGS),True
def(ENABLE_IPV6),True
True,!def(CURL_DISABLE_CRYPTO_AUTH)
def(USE_ENVIRONMENT),True
!def(CURL_DISABLE_HTTP),True
def(IOCTL_3_ARGS),True
def(WIN32),True
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,def(IOCTL_3_ARGS)
True,!def(IOCTL_3_ARGS)
def(TEST_ENCODE),True
True,def(DPRINTF_DEBUG)
!def(WIN32),def(WIN32)
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
def(CURLDEBUG),True
def(GETPART_TEST),True
(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP)),True
def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
!def(USE_SSLEAY),True
!def(CURL_DISABLE_CRYPTO_AUTH),True
True,!def(CURL_DISABLE_HTTP)
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
True,(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP))
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
def(USE_SSLEAY),True
True,!def(USE_SSLEAY)
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
def(_NETRC_DEBUG),True
def(HAVE_POLL_FINE),True
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(CURLDEBUG),(!def(VMS)|def(CURLDEBUG))
!def(WIN32),True
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32)))
(def(__riscos__)&def(USE_ENVIRONMENT)),True
True,def(WIN32)
True,def(DPRINTF_DEBUG2)
def(TEST_DECODE),True
def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
!def(HAVE_POLL_FINE),True
def(USE_ENVIRONMENT),(def(__riscos__)&def(USE_ENVIRONMENT))
True,def(USE_SSLEAY)
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
