(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),True
def(__riscos__),def(CURLDEBUG)
!def(CURL_DISABLE_DICT),True
True,!def(HAVE_MEMRCHR)
True,def(CURL_DOES_CONVERSIONS)
def(USE_POLARSSL),(def(ENABLE_IPV6)&!def(HAVE_INET_PTON))
!def(WANT_IDN_PROTOTYPES),True
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),!def(HAVE_INET_NTOP)
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
def(CURL_DISABLE_HTTP),True
True,def(__AMIGA__)
True,(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP))
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
(def(ENABLE_IPV6)&def(USE_POLARSSL)),(def(ENABLE_IPV6)&!def(HAVE_INET_PTON))
True,def(__riscos__)
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),True
!def(CURL_DISABLE_GOPHER),True
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),def(CURL_DOES_CONVERSIONS)
!def(CURL_DISABLE_RTSP),True
def(CURL_DOES_CONVERSIONS),True
def(USE_CYASSL),True
def(DEBUGBUILD),True
def(__riscos__),True
!def(CURL_DISABLE_HTTP),True
!def(CURL_DISABLE_HTTP),def(CURL_DOES_CONVERSIONS)
True,!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_PROXY),True
!def(CURL_DISABLE_FTP),True
!def(HAVE_INET_NTOP),True
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
def(CURLDEBUG),True
def(USE_CYASSL),(!def(NO_FILESYSTEM)&def(USE_CYASSL))
!def(DEBUGBUILD),True
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),def(USE_CYASSL)
