True,!def(WIN32)
!def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,def(USE_SSLEAY)
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
def(DPRINTF_DEBUG),True
True,def(WIN32)
!def(WIN32),!def(HAVE_GETTIMEOFDAY)
!def(WIN32),def(WIN32)
!def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
!def(WIN32),True
True,!def(USE_SSLEAY)
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
def(USE_SSLEAY),True
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
def(WIN32),!def(WIN32)
(def(__riscos__)&def(USE_ENVIRONMENT)),def(USE_ENVIRONMENT)
!def(CURL_DISABLE_HTTP),!def(HAVE_STRTOK_R)
def(TEST),True
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
def(_NETRC_DEBUG),True
(def(__riscos__)&def(USE_ENVIRONMENT)),True
!def(CURL_DISABLE_HTTP),True
True,def(DPRINTF_DEBUG)
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),True
True,def(CURLDEBUG)
True,!def(CURL_DISABLE_HTTP)
def(WIN32),True
def(TEST_DECODE),True
def(USE_ENVIRONMENT),True
def(USE_ENVIRONMENT),(def(__riscos__)&def(USE_ENVIRONMENT))
def(CURLDEBUG),True
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
def(CURLDEBUG),(!def(VMS)|def(CURLDEBUG))
True,(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32)))
(def(HAVE_TERMIOS_H)&!def(HAVE_GETPASS_R)&((def(HAVE_TERMIOS_H)&(def(HAVE_GETPASS_R)|def(WIN32)|def(VMS))&!def(WIN32)&!def(HAVE_GETPASS_R))|(!def(WIN32)&!def(HAVE_GETPASS_R)&(!def(HAVE_TERMIOS_H)|(!def(WIN32)&!def(HAVE_GETPASS_R)&!def(VMS)))&def(HAVE_TERMIO_H)))&(def(HAVE_GETPASS_R)|def(WIN32)|def(VMS))&!def(WIN32)&(def(HAVE_GETPASS_R)|!def(WIN32))&(def(HAVE_GETPASS_R)|(def(HAVE_TERMIOS_H)&(def(HAVE_GETPASS_R)|def(WIN32)|def(VMS)))|(def(HAVE_TERMIOS_H)&(def(HAVE_GETPASS_R)|def(WIN32)|def(VMS))&!def(WIN32)&!def(HAVE_GETPASS_R))|!def(HAVE_TERMIO_H)|def(WIN32))),(!def(HAVE_GETPASS_R)&((def(HAVE_TERMIOS_H)&(def(HAVE_GETPASS_R)|def(WIN32)|def(VMS))&!def(WIN32)&!def(HAVE_GETPASS_R))|(!def(WIN32)&!def(HAVE_GETPASS_R)&(!def(HAVE_TERMIOS_H)|(!def(WIN32)&!def(HAVE_GETPASS_R)&!def(VMS)))&def(HAVE_TERMIO_H)))&((!def(WIN32)&!def(VMS))|def(HAVE_GETPASS_R)|(!def(HAVE_GETPASS_R)&(!def(HAVE_TERMIOS_H)|(!def(WIN32)&!def(HAVE_GETPASS_R)&!def(VMS)))&(!def(HAVE_TERMIOS_H)|(!def(WIN32)&!def(HAVE_GETPASS_R)&!def(VMS))|def(WIN32)|def(HAVE_GETPASS_R))&!def(WIN32)&def(HAVE_TERMIO_H))|!def(HAVE_TERMIOS_H)|def(WIN32))&!def(WIN32)&(def(HAVE_GETPASS_R)|!def(WIN32)))
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
def(TEST_ENCODE),True
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),True
!def(USE_SSLEAY),True
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP)),True
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
