(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),True
def(DISABLE_EXPECT),def(USE_CHUNKED)
True,def(DEBUGBUILD)
(def(WIN32)&!def(__AMIGA__)),True
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),True
def(CURL_DOES_CONVERSIONS),True
True,!def(__EMX__)
!def(CURL_DISABLE_DICT),True
True,!def(DEBUGBUILD)
def(CURL_DISABLE_HTTP),def(DEBUGBUILD)
!def(DEBUGBUILD),def(DEBUGBUILD)
True,(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP))
True,!def(CURL_DISABLE_TFTP)
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
def(LIB1503),True
True,!def(HAVE_INET_PTON)
def(ENABLE_IPV6),True
def(USE_POLARSSL),True
(def(ENABLE_IPV6)&def(USE_POLARSSL)),!def(HAVE_INET_PTON)
!def(HAVE_INET_NTOP),True
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),True
True,(!def(__NOVELL_LIBC__)&def(NETWARE))
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),True
def(USE_POLARSSL),!def(HAVE_INET_PTON)
True,!def(CURL_DISABLE_HTTP)
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
def(HAVE_FDOPEN),True
def(DEBUGBUILD),True
def(USE_CHUNKED),def(DISABLE_EXPECT)
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),!def(HAVE_INET_NTOP)
def(HAVE_SOCKETPAIR),True
!def(CURL_DISABLE_HTTP),(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP)))
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
!def(CURL_DISABLE_HTTP),(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP))
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
!def(CURL_DISABLE_TFTP),True
(def(__riscos__)&def(USE_ENVIRONMENT)),True
def(HAVE_GSSAPI),True
def(__riscos__),True
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),True
True,def(__riscos__)
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),True
True,(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY)))
True,!def(HAVE_INET_NTOP)
!def(HAVE_GSSAPI),True
!def(CURL_DISABLE_RTSP),True
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),def(USE_CYASSL)
True,def(HAVE_GSSAPI)
def(USE_ENVIRONMENT),def(__riscos__)
True,!def(HAVE_MEMRCHR)
def(USE_CHUNKED),True
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI)))
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED))
!def(DEBUGBUILD),True
def(USE_CYASSL),True
!def(CURL_DISABLE_LIBCURL_OPTION),True
!def(CURL_DISABLE_GOPHER),True
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),True
def(ENABLE_IPV6),!def(HAVE_INET_PTON)
!def(__EMX__),True
def(LIB1502),True
True,!def(CURL_DISABLE_LIBCURL_OPTION)
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),True
True,def(__VMS)
True,!def(HAVE_STRTOK_R)
!def(CURL_DISABLE_HTTP),def(DEBUGBUILD)
!def(CURL_DISABLE_HTTP),True
def(DISABLE_EXPECT),True
def(__VMS),True
!def(CURL_DISABLE_PROXY),True
def(USE_CYASSL),(!def(NO_FILESYSTEM)&def(USE_CYASSL))
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),True
