def(DISABLE_EXPECT),True
def(DEBUGBUILD),True
True,!def(HAVE_INET_PTON)
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),True
def(USE_CYASSL),(!def(NO_FILESYSTEM)&def(USE_CYASSL))
def(CURL_DISABLE_HTTP),def(DEBUGBUILD)
def(CURL_DO_LINEEND_CONV),True
True,(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP))
True,(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY)))
!def(DEBUGBUILD),def(DEBUGBUILD)
def(DISABLE_EXPECT),def(USE_CHUNKED)
True,!def(DEBUGBUILD)
!def(CURL_DISABLE_DICT),True
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),True
!def(CURL_DISABLE_PROXY),True
!def(DEBUGBUILD),True
!def(__EMX__),True
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI)))
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),def(USE_CYASSL)
!def(HAVE_INET_NTOP),True
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),True
def(LIB1503),True
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),True
def(USE_POLARSSL),!def(HAVE_INET_PTON)
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),True
True,!def(HAVE_BASENAME)
True,def(HAVE_GSSAPI)
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),!def(HAVE_INET_NTOP)
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
!def(HAVE_BASENAME),True
!def(CURL_DISABLE_TFTP),True
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED))
!def(CURL_DISABLE_LIBCURL_OPTION),True
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),True
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
!def(CURL_DISABLE_TFTP),(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP))
True,def(__riscos__)
True,!def(HAVE_INET_NTOP)
def(HAVE_GSSAPI),True
def(USE_CHUNKED),True
!def(CURL_DISABLE_GOPHER),True
def(__VMS),True
True,!def(HAVE_MEMRCHR)
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),True
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),True
True,!def(__EMX__)
(def(ENABLE_IPV6)&def(USE_POLARSSL)),!def(HAVE_INET_PTON)
def(USE_CYASSL),True
True,!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_HTTP),(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP)))
True,!def(CURL_DISABLE_LIBCURL_OPTION)
def(USE_POLARSSL),True
True,!def(CURL_DISABLE_TFTP)
def(__riscos__),True
!def(CURL_DISABLE_HTTP),def(DEBUGBUILD)
def(ENABLE_IPV6),True
def(HAVE_SOCKETPAIR),True
def(CURL_DOES_CONVERSIONS),True
!def(HAVE_GSSAPI),True
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
True,(!def(__NOVELL_LIBC__)&def(NETWARE))
!def(CURL_DISABLE_RTSP),True
def(HAVE_FDOPEN),True
(def(WIN32)&!def(__AMIGA__)),True
(def(__riscos__)&def(USE_ENVIRONMENT)),True
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),True
def(USE_ENVIRONMENT),def(__riscos__)
True,def(__VMS)
def(LIB1502),True
!def(CURL_DISABLE_HTTP),(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP))
!def(CURL_DISABLE_HTTP),True
True,!def(HAVE_STRTOK_R)
def(USE_CHUNKED),def(DISABLE_EXPECT)
True,def(DEBUGBUILD)
