def(ENABLE_IPV6),True
def(DPRINTF_DEBUG),True
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(TEST_ENCODE),True
!def(WIN32),def(WIN32)
def(KRB4),True
def(USE_SSLEAY),True
def(HAVE_GETPASS_R),True
!def(CURL_DISABLE_HTTP),True
True,!def(WIN32)
def(TEST_DECODE),True
(def(CURL_COOKIE_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(MALLOCDEBUG),True
def(USE_ENVIRONMENT),True
!def(CURL_DISABLE_HTTP),(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP))
def(WIN32),True
def(TEST),True
def(DPRINTF_DEBUG2),True
(def(KRB4)&!def(CURL_DISABLE_FTP)),True
!def(CURL_DISABLE_HTTP),!def(HAVE_STRTOK_R)
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(_NETRC_DEBUG),True
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(HAVE_LIBZ),True
True,!def(CURL_DISABLE_HTTP)
!def(WIN32),True
