(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
!def(DEBUGBUILD),True
True,!def(HAVE_MEMRCHR)
def(CURL_DISABLE_HTTP),True
True,def(__AMIGA__)
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
(def(ENABLE_IPV6)&def(USE_POLARSSL)),!def(HAVE_INET_PTON)
!def(CURL_DISABLE_DICT),True
!def(CURL_DISABLE_RTSP),True
!def(CURL_DISABLE_FTP),True
!def(CURL_DISABLE_HTTP),True
def(DEBUGBUILD),True
True,def(CURL_DOES_CONVERSIONS)
True,def(CURLRES_SYNCH)
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
!def(CURL_DISABLE_GOPHER),True
def(__riscos__),def(CURLDEBUG)
True,def(__riscos__)
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
def(USE_POLARSSL),!def(HAVE_INET_PTON)
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
def(CURLDEBUG),True
