!def(CURL_DISABLE_HTTP),True
(!def(GSSAPI)&!def(USE_SSLEAY)),True
def(CURLDEBUG),True
!def(WIN32),True
!def(CURL_DISABLE_HTTP),(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP))
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
!def(WIN32),def(WIN32)
def(USE_ENVIRONMENT),True
True,!def(CURL_DISABLE_HTTP)
def(TEST_ENCODE),True
def(HAVE_GETPASS_R),True
(def(GSSAPI)&!def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
(!def(GSSAPI)&!def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
def(TEST_DECODE),True
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(MALLOCDEBUG),True
!def(CURL_DISABLE_HTTP),!def(HAVE_STRTOK_R)
True,(!def(GSSAPI)&!def(USE_SSLEAY))
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
(def(CURL_COOKIE_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
True,(!def(GSSAPI)&def(USE_SSLEAY))
(def(GSSAPI)&!def(USE_SSLEAY)),True
(!def(GSSAPI)&def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
(!def(GSSAPI)&def(USE_SSLEAY)),True
True,(def(GSSAPI)&def(USE_SSLEAY))
(def(GSSAPI)&def(USE_SSLEAY)),True
True,(def(GSSAPI)&!def(USE_SSLEAY))
def(DPRINTF_DEBUG),True
True,!def(USE_SSLEAY)
def(DPRINTF_DEBUG2),True
(def(KRB4)&!def(CURL_DISABLE_FTP)),True
def(TEST),True
(def(GSSAPI)&def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
def(WIN32),True
!def(USE_SSLEAY),True
True,!def(WIN32)
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(_NETRC_DEBUG),True
