True,def(DPRINTF_DEBUG2)
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
def(GETPART_TEST),True
True,(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP))
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(USE_ENVIRONMENT),True
(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP)),True
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
!def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
def(ENABLE_IPV6),True
!def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
def(CURLDEBUG),True
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
!def(CURL_DISABLE_HTTP),True
def(TEST_DECODE),True
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
!def(CURL_DISABLE_CRYPTO_AUTH),True
def(USE_ARES),True
def(CURLDEBUG),(!def(VMS)|def(CURLDEBUG))
True,def(DPRINTF_DEBUG)
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32)))
def(USE_ENVIRONMENT),(def(__riscos__)&def(USE_ENVIRONMENT))
def(DPRINTF_DEBUG2),True
def(DPRINTF_DEBUG),True
True,!def(HAVE_STRTOK_R)
True,def(USE_SSLEAY)
def(WIN32),!def(WIN32)
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(def(__riscos__)&def(USE_ENVIRONMENT)),def(USE_ENVIRONMENT)
def(TEST_ENCODE),True
True,!def(CURL_DISABLE_HTTP)
!def(HAVE_POLL_FINE),True
!def(USE_SSLEAY),True
(def(__riscos__)&def(USE_ENVIRONMENT)),True
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
!def(WIN32),True
def(HAVE_POLL_FINE),True
True,!def(USE_SSLEAY)
def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
!def(WIN32),def(WIN32)
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
def(WIN32),True
True,!def(CURL_DISABLE_CRYPTO_AUTH)
def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
def(_NETRC_DEBUG),True
def(USE_SSLEAY),True
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
True,def(WIN32)
