def(TEST_ENCODE),True
def(HAVE_GETPASS_R),True
def(ENABLE_IPV6),True
def(DPRINTF_DEBUG2),True
!def(CURL_DISABLE_HTTP),True
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(HAVE_LIBZ),True
(def(CURL_COOKIE_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
!def(WIN32),True
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),True
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),True
def(MALLOCDEBUG),True
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(KRB4),True
def(WIN32),!def(WIN32)
True,!def(WIN32)
!def(CURL_DISABLE_HTTP),!def(HAVE_STRTOK_R)
def(WIN32),True
def(TEST),True
def(USE_SSLEAY),True
def(DPRINTF_DEBUG),True
(def(KRB4)&!def(CURL_DISABLE_FTP)),True
True,!def(CURL_DISABLE_HTTP)
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(_NETRC_DEBUG),True
def(TEST_DECODE),True
def(USE_ENVIRONMENT),True
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
