True,def(DPRINTF_DEBUG2)
!def(WIN32),def(WIN32)
def(TEST_DECODE),True
def(USE_SSLEAY),True
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32)))
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
!def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
def(HAVE_POLL_FINE),True
!def(CURL_DISABLE_CRYPTO_AUTH),True
def(USE_ARES),True
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
(def(__riscos__)&def(USE_ENVIRONMENT)),def(USE_ENVIRONMENT)
def(TEST_ENCODE),True
!def(HAVE_POLL_FINE),True
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,def(DPRINTF_DEBUG)
def(USE_ENVIRONMENT),True
!def(USE_SSLEAY),True
True,def(USE_SSLEAY)
!def(CURL_DISABLE_HTTP),True
def(DPRINTF_DEBUG2),True
def(DPRINTF_DEBUG),True
!def(WIN32),True
True,def(WIN32)
True,!def(CURL_DISABLE_HTTP)
def(CURLDEBUG),(!def(VMS)|def(CURLDEBUG))
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
def(WIN32),True
(def(__riscos__)&def(USE_ENVIRONMENT)),True
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP)),True
def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,!def(USE_SSLEAY)
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
True,!def(HAVE_STRTOK_R)
True,(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP))
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
def(GETPART_TEST),True
!def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,!def(CURL_DISABLE_CRYPTO_AUTH)
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
def(WIN32),!def(WIN32)
def(_NETRC_DEBUG),True
True,def(_NETRC_DEBUG)
def(ENABLE_IPV6),True
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(USE_ENVIRONMENT),(def(__riscos__)&def(USE_ENVIRONMENT))
