(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
True,!def(WIN32)
def(WIN32),True
def(_NETRC_DEBUG),True
def(USE_ENVIRONMENT),True
!def(CURL_DISABLE_HTTP),True
!def(WIN32),True
def(MALLOCDEBUG),True
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),True
def(KRB4),True
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),True
def(TEST),True
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_HTTP),!def(HAVE_STRTOK_R)
def(DPRINTF_DEBUG),True
def(WIN32),!def(WIN32)
def(DPRINTF_DEBUG2),True
def(HAVE_GETPASS_R),True
(def(KRB4)&!def(CURL_DISABLE_FTP)),True
True,!def(CURL_DISABLE_HTTP)
(def(CURL_COOKIE_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(TEST_DECODE),True
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(HAVE_LIBZ),True
def(USE_SSLEAY),True
def(TEST_ENCODE),True
def(ENABLE_IPV6),True
