True,def(CURLRES_SYNCH)
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
!def(DEBUGBUILD),True
def(DEBUGBUILD),True
!def(CURL_DISABLE_GOPHER),True
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
True,def(__AMIGA__)
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_HTTP),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
!def(CURL_DISABLE_PROXY),True
True,!def(DEBUGBUILD)
def(CURL_DISABLE_HTTP),True
def(CURLDEBUG),True
def(USE_POLARSSL),!def(HAVE_INET_PTON)
(def(ENABLE_IPV6)&def(USE_POLARSSL)),!def(HAVE_INET_PTON)
True,def(CURL_DOES_CONVERSIONS)
!def(CURL_DISABLE_RTSP),True
True,!def(HAVE_MEMRCHR)
def(__riscos__),def(CURLDEBUG)
True,def(__riscos__)
!def(CURL_DISABLE_FTP),True
!def(CURL_DISABLE_DICT),True
