(!def(HAVE_LDAP_URL_PARSE)&!def(CURL_DISABLE_LDAP)),!def(HAVE_STRTOK_R)
!def(LIB529),True
def(IOCTL_3_ARGS),True
!def(__MINGW32__),True
True,!def(HAVE_STRTOK_R)
def(CURLDEBUG),(!def(CURLDEBUG)&!def(VMS))
def(USE_SSL),True
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
!def(ENABLE_IPV6),!def(HAVE_INET_PTON)
True,!def(USE_SSLEAY)
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
def(ENABLE_IPV6),True
!def(IOCTL_3_ARGS),True
(def(LIB526)&!def(LIB527)),True
def(TEST_DECODE),True
!def(CURL_DISABLE_LDAP),True
(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&def(SIGPIPE)&def(HAVE_SIGNAL))),True
True,!def(__MINGW32__)
!def(CURL_DISABLE_FTP),True
True,def(CURLDEBUG)
!def(CURL_DISABLE_DICT),True
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
!def(CURL_DISABLE_HTTP),True
True,!def(CURL_DISABLE_HTTP)
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
def(LIB532),True
def(CURLDEBUG),True
!def(HAVE_GETTIMEOFDAY),True
def(ENABLE_IPV6),!def(HAVE_INET_PTON)
!def(HAVE_GMTIME_R),True
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
True,(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|!def(SIGPIPE)|!def(HAVE_SIGNAL)))
True,def(USE_SSLEAY)
def(USE_SSLEAY),True
True,def(CURL_DOES_CONVERSIONS)
def(TEST_ENCODE),True
!def(CURL_DISABLE_LDAP),(def(HAVE_LDAP_SSL)&!def(CURL_DISABLE_LDAP))
!def(LIB532),True
(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|!def(SIGPIPE)|!def(HAVE_SIGNAL))),True
def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(TEST_ENCODE),(def(CURL_DOES_CONVERSIONS)&def(TEST_ENCODE))
def(CURL_DISABLE_HTTP),True
!def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
!def(USE_SSLEAY),True
def(LIB529),True
True,!def(HAVE_GETTIMEOFDAY)
True,(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&def(SIGPIPE)&def(HAVE_SIGNAL)))
(!def(HAVE_LDAP_URL_PARSE)&!def(CURL_DISABLE_LDAP)),True
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
True,!def(CURL_DISABLE_CRYPTO_AUTH)
!def(CURL_DISABLE_LDAP),(!def(HAVE_LDAP_URL_PARSE)&!def(CURL_DISABLE_LDAP))
