def(USE_CHUNKED),def(DISABLE_EXPECT)
def(USE_CHUNKED),True
def(LIB1502),True
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),True
def(LIB1503),True
!def(HAVE_INET_NTOP),True
def(DEBUGBUILD),True
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),True
!def(__EMX__),True
True,!def(CURL_DISABLE_HTTP)
def(__riscos__),True
True,def(CURL_DOES_CONVERSIONS)
def(CURL_DO_LINEEND_CONV),True
!def(CURL_DISABLE_HTTP),(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP))
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
True,def(DEBUGBUILD)
def(USE_POLARSSL),True
!def(HAVE_BASENAME),True
def(HAVE_GSSAPI),True
def(USE_CYASSL),True
True,(!def(__NOVELL_LIBC__)&def(NETWARE))
!def(CURL_DISABLE_GOPHER),True
!def(CURL_DISABLE_HTTP),(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP)))
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),!def(HAVE_INET_NTOP)
!def(CURL_DISABLE_HTTP),True
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),True
!def(CURL_DISABLE_TFTP),(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP))
(def(ENABLE_IPV6)&def(USE_POLARSSL)),!def(HAVE_INET_PTON)
!def(CURL_DISABLE_HTTP),def(DEBUGBUILD)
!def(CURL_DISABLE_PROXY),True
!def(USE_WIN32_IDN),True
True,(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP))
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),True
(def(__riscos__)&def(USE_ENVIRONMENT)),True
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),True
True,!def(DEBUGBUILD)
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),True
def(CURL_DISABLE_HTTP),def(DEBUGBUILD)
def(USE_CYASSL),(!def(NO_FILESYSTEM)&def(USE_CYASSL))
def(__VMS),True
True,def(__riscos__)
True,!def(CURL_DISABLE_TFTP)
True,!def(HAVE_STRTOK_R)
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED))
True,!def(__EMX__)
def(HAVE_FDOPEN),True
!def(CURL_DISABLE_TFTP),True
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),True
def(CURL_DOES_CONVERSIONS),True
!def(HAVE_GSSAPI),True
True,!def(HAVE_INET_NTOP)
!def(DEBUGBUILD),True
!def(CURL_DISABLE_DICT),True
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),def(USE_CYASSL)
True,!def(HAVE_BASENAME)
!def(CURL_DISABLE_LIBCURL_OPTION),True
def(ENABLE_IPV6),True
True,!def(HAVE_MEMRCHR)
True,def(HAVE_GSSAPI)
def(DISABLE_EXPECT),def(USE_CHUNKED)
(def(WIN32)&!def(__AMIGA__)),True
def(HAVE_SOCKETPAIR),True
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),True
!def(CURL_DISABLE_RTSP),True
def(DISABLE_EXPECT),True
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),True
True,(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY)))
True,!def(HAVE_INET_PTON)
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI)))
def(USE_ENVIRONMENT),def(__riscos__)
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
!def(DEBUGBUILD),def(DEBUGBUILD)
True,!def(CURL_DISABLE_LIBCURL_OPTION)
True,def(__VMS)
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
def(USE_POLARSSL),!def(HAVE_INET_PTON)
