True,!def(WIN32)
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
def(_NETRC_DEBUG),True
def(USE_SSLEAY),True
def(USE_ENVIRONMENT),(def(__riscos__)&def(USE_ENVIRONMENT))
def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,!def(HAVE_BASENAME)
!def(CURL_DISABLE_HTTP),True
def(DPRINTF_DEBUG),True
True,def(WIN32)
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
True,!def(CURL_DISABLE_HTTP)
True,def(_FORM_DEBUG)
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),!def(CURL_DISABLE_HTTP)
!def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(WIN32),!def(WIN32)
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
True,def(USE_SSLEAY)
(def(__riscos__)&def(USE_ENVIRONMENT)),def(USE_ENVIRONMENT)
(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP)),True
def(DPRINTF_DEBUG2),True
def(USE_ENVIRONMENT),True
def(_FORM_DEBUG),True
def(WIN32),True
True,def(DPRINTF_DEBUG2)
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(ENABLE_IPV6),True
def(TEST_DECODE),True
(def(__riscos__)&def(USE_ENVIRONMENT)),True
!def(WIN32),True
True,(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP))
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
!def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
!def(USE_SSLEAY),True
True,def(DPRINTF_DEBUG)
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32)))
!def(CURL_DISABLE_HTTP),!def(HAVE_STRTOK_R)
!def(WIN32),def(WIN32)
def(TEST),True
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(TEST_ENCODE),True
def(CURLDEBUG),(!def(VMS)|def(CURLDEBUG))
True,!def(USE_SSLEAY)
def(USE_ARES),True
