True,def(__riscos__)
def(USE_CYASSL),True
!def(WANT_IDN_PROTOTYPES),True
def(__riscos__),def(CURLDEBUG)
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),True
True,def(__AMIGA__)
def(CURL_DOES_CONVERSIONS),True
!def(CURL_DISABLE_GOPHER),True
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
!def(DEBUGBUILD),True
True,def(CURL_DOES_CONVERSIONS)
def(__riscos__),True
def(CURLDEBUG),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
True,(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP))
!def(HAVE_INET_NTOP),True
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),!def(HAVE_INET_NTOP)
!def(CURL_DISABLE_FTP),True
!def(CURL_DISABLE_PROXY),True
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
!def(CURL_DISABLE_HTTP),def(CURL_DOES_CONVERSIONS)
!def(CURL_DISABLE_RTSP),True
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
(def(ENABLE_IPV6)&def(USE_POLARSSL)),(def(ENABLE_IPV6)&!def(HAVE_INET_PTON))
def(CURL_DISABLE_HTTP),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
!def(CURL_DISABLE_DICT),True
True,!def(HAVE_MEMRCHR)
def(USE_POLARSSL),(def(ENABLE_IPV6)&!def(HAVE_INET_PTON))
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),True
def(DEBUGBUILD),True
True,!def(CURL_DISABLE_HTTP)
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),def(CURL_DOES_CONVERSIONS)
!def(CURL_DISABLE_HTTP),True
